"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANDIA (000)",58297,17088,2319,478,38445
"Quechua (001)",31399,8982,741,136,21550
"Aymara (002)",6117,924,184,51,4963
"Asháninka (003)",14,1,2,1,10
"Otra lengua nativa (004)",4,,2,,2
"Castellano (005)",20702,7162,1390,289,11879
"Idioma Extranjero (006)",4,,,,4
"Es Sordomudo/a (007)",57,19,,1,37
"Hombres (009)",31289,8322,1274,270,21441
"Quechua (010)",16276,4243,415,80,11546
"Aymara (011)",3704,460,116,24,3106
"Asháninka (012)",8,1,,1,6
"Otra lengua nativa (013)",2,,,,2
"Castellano (014)",11264,3608,743,165,6756
"Idioma Extranjero (015)",3,,,,3
"Es Sordomudo/a (016)",32,10,,,22
"Mujeres (018)",27008,8766,1045,208,17004
"Quechua (019)",15123,4739,326,56,10004
"Aymara (020)",2413,464,68,27,1857
"Asháninka (021)",6,,2,,4
"Otra lengua nativa (022)",2,,2,,
"Castellano (023)",9438,3554,647,124,5123
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",25,9,,1,15
,,,,,
"URBANA (027)",15548,4079,1464,193,9820
"Quechua (028)",5924,1167,360,44,4355
"Aymara (029)",964,157,91,22,694
"Asháninka (030)",8,1,2,1,4
"Otra lengua nativa (031)",2,,1,,1
"Castellano (032)",8632,2750,1010,126,4752
"Idioma Extranjero (033)",2,,,,2
"Es Sordomudo/a (034)",16,4,,,12
"Hombres (036)",7748,1920,744,117,4972
"Quechua (037)",2790,507,194,31,2060
"Aymara (038)",524,75,53,10,386
"Asháninka (039)",4,1,,1,2
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",4416,1335,497,75,2512
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",11,2,,,9
"Mujeres (045)",7800,2159,720,76,4848
"Quechua (046)",3134,660,166,13,2295
"Aymara (047)",440,82,38,12,308
"Asháninka (048)",4,,2,,2
"Otra lengua nativa (049)",1,,1,,
"Castellano (050)",4216,1415,513,51,2240
"Es Sordomudo/a (052)",5,2,,,3
,,,,,
"RURAL (054)",42749,13009,855,285,28625
"Quechua (055)",25475,7815,381,92,17195
"Aymara (056)",5153,767,93,29,4269
"Asháninka (057)",6,,,,6
"Otra lengua nativa (058)",2,,1,,1
"Castellano (059)",12070,4412,380,163,7127
"Idioma Extranjero (060)",2,,,,2
"Es Sordomudo/a (061)",41,15,,1,25
"Hombres (063)",23541,6402,530,153,16469
"Quechua (064)",13486,3736,221,49,9486
"Aymara (065)",3180,385,63,14,2720
"Asháninka (066)",4,,,,4
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",6848,2273,246,90,4244
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",21,8,,,13
"Mujeres (072)",19208,6607,325,132,12156
"Quechua (073)",11989,4079,160,43,7709
"Aymara (074)",1973,382,30,15,1549
"Asháninka (075)",2,,,,2
"Otra lengua nativa (076)",1,,1,,
"Castellano (077)",5222,2139,134,73,2883
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",20,7,,1,12
