"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JORGE BASADRE (000)",3115,2974,756,564,635,407,357,155,73,27,141,6512
"De 12 a 14 años (001)",208,207,206,1,,,,,,,1,1
"De 15 a 19 años (002)",278,272,232,38,2,,,,,,6,42
"De 20 a 24 años (003)",376,336,134,152,43,4,3,,,,40,262
"De 25 a 29 años (004)",415,356,69,139,111,30,5,,2,,59,488
"De 30 a 34 años (005)",380,360,48,86,138,62,23,3,,,20,667
"De 35 a 39 años (006)",329,325,25,41,119,85,50,4,1,,4,781
"De 40 a 44 años (007)",271,268,15,41,82,66,56,7,1,,3,696
"De 45 a 49 años (008)",224,222,9,21,60,56,55,17,3,1,2,691
"De 50 y más años (009)",634,628,18,45,80,104,165,124,66,26,6,2884
"PEA (010)",1589,1495,298,323,326,209,199,88,38,14,94,3506
"De 12 a 14 años (011)",12,12,12,,,,,,,,,
"De 15 a 19 años (012)",82,82,64,17,1,,,,,,,19
"De 20 a 24 años (013)",208,181,83,75,18,3,2,,,,27,128
"De 25 a 29 años (014)",263,218,52,83,62,16,4,,1,,45,280
"De 30 a 34 años (015)",214,199,36,55,65,29,12,2,,,15,336
"De 35 a 39 años (016)",199,196,20,29,66,46,33,1,1,,3,454
"De 40 a 44 años (017)",151,149,12,26,40,31,35,5,,,2,383
"De 45 a 49 años (018)",133,131,6,13,32,27,38,13,1,1,2,425
"De 50 y más años (019)",327,327,13,25,42,57,75,67,35,13,,1481
"Ocupada (020)",1514,1429,288,303,310,199,191,88,36,14,85,3373
"De 12 a 14 años (021)",12,12,12,,,,,,,,,
"De 15 a 19 años (022)",79,79,62,16,1,,,,,,,18
"De 20 a 24 años (023)",193,169,79,68,18,2,2,,,,24,118
