"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ASUNCION (000)",3467,3349,916,329,372,314,571,385,259,203,118,11514
"De 12 a 14 años (001)",358,358,358,,,,,,,,,
"De 15 a 19 años (002)",411,405,363,38,4,,,,,,6,46
"De 20 a 24 años (003)",313,274,94,102,53,17,6,2,,,39,298
"De 25 a 29 años (004)",290,261,17,71,93,49,28,2,1,,29,543
"De 30 a 34 años (005)",304,288,20,40,70,63,82,11,2,,16,804
"De 35 a 39 años (006)",299,291,9,20,43,62,101,43,11,2,8,1128
"De 40 a 44 años (007)",222,218,11,7,20,32,78,37,25,8,4,1035
"De 45 a 49 años (008)",204,202,3,4,19,19,52,50,31,24,2,1179
"De 50 y más años (009)",1066,1052,41,47,70,72,224,240,189,169,14,6481
"PEA (010)",598,550,89,95,100,76,95,48,25,22,48,1727
"De 12 a 14 años (011)",7,7,7,,,,,,,,,
"De 15 a 19 años (012)",32,31,23,8,,,,,,,1,8
"De 20 a 24 años (013)",75,61,22,23,10,4,1,1,,,14,66
"De 25 a 29 años (014)",87,70,10,21,22,12,5,,,,17,123
"De 30 a 34 años (015)",97,86,14,19,25,14,10,3,1,,11,180
"De 35 a 39 años (016)",87,85,5,12,19,21,21,7,,,2,250
"De 40 a 44 años (017)",54,53,3,2,7,13,17,6,3,2,1,221
"De 45 a 49 años (018)",46,45,,1,8,7,18,7,2,2,1,203
"De 50 y más años (019)",113,112,5,9,9,5,23,24,19,18,1,676
"Ocupada (020)",583,537,87,93,99,73,92,46,25,22,46,1688
"De 12 a 14 años (021)",7,7,7,,,,,,,,,
"De 15 a 19 años (022)",32,31,23,8,,,,,,,1,8
"De 20 a 24 años (023)",72,58,21,22,10,3,1,1,,,14,62
