"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MAYNAS (000)",454800,39488,12022,158122,171639,17366,18089,15996,22078
"Quechua (001)",2612,540,19,1424,443,43,51,30,62
"Aymara (002)",140,21,10,34,41,10,7,4,13
"Ashaninca (003)",80,10,9,30,21,2,3,1,4
"Otra lengua nativa (004)",4466,1171,62,2445,641,46,21,46,34
"Castellano (005)",446809,37491,11906,154033,170390,17257,17986,15885,21861
"Idioma extranjero (006)",266,18,2,21,72,6,20,26,101
"Es sordomudo/a (007)",427,237,14,135,31,2,1,4,3
"Hombres (009)",229097,18246,6152,75402,89150,9498,9364,9156,12129
"Quechua (010)",1434,184,12,774,316,32,41,24,51
"Aymara (011)",92,14,4,14,34,8,6,4,8
"Ashaninca (012)",38,4,6,16,6,,2,1,3
"Otra lengua nativa (013)",2291,464,32,1273,413,37,12,36,24
"Castellano (014)",224859,17443,6089,73240,88331,9416,9287,9073,11980
"Idioma extranjero (015)",148,9,2,10,29,4,15,17,62
"Es sordomudo/a (016)",235,128,7,75,21,1,1,1,1
"Mujeres (018)",225703,21242,5870,82720,82489,7868,8725,6840,9949
"Quechua (019)",1178,356,7,650,127,11,10,6,11
"Aymara (020)",48,7,6,20,7,2,1,,5
"Ashaninca (021)",42,6,3,14,15,2,1,,1
"Otra lengua nativa (022)",2175,707,30,1172,228,9,9,10,10
"Castellano (023)",221950,20048,5817,80793,82059,7841,8699,6812,9881
"Idioma extranjero (024)",118,9,,11,43,2,5,9,39
"Es sordomudo/a (025)",192,109,7,60,10,1,,3,2
,,,,,,,,,
"URBANA (027)",364258,26124,9923,106204,150743,16749,17469,15698,21348
"Quechua (028)",787,79,7,273,276,36,37,23,56
"Aymara (029)",106,13,4,22,35,9,6,4,13
"Ashaninca (030)",65,6,8,21,21,2,3,1,3
"Otra lengua nativa (031)",507,71,7,196,166,15,14,26,12
"Castellano (032)",362214,25779,9885,105560,150147,16679,17389,15614,21161
"Idioma extranjero (033)",257,16,2,18,70,6,19,26,100
"Es sordomudo/a (034)",322,160,10,114,28,2,1,4,3
"Hombres (036)",179646,12245,5074,47755,75945,9056,8967,8926,11678
"Quechua (037)",466,24,4,133,188,25,29,18,45
"Aymara (038)",70,7,2,6,29,8,6,4,8
"Ashaninca (039)",30,2,6,10,6,,2,1,3
"Otra lengua nativa (040)",262,22,6,98,95,10,5,20,6
"Castellano (041)",178488,12092,5049,47432,75579,9008,8910,8865,11553
"Idioma extranjero (042)",143,7,2,8,29,4,14,17,62
"Es sordomudo/a (043)",187,91,5,68,19,1,1,1,1
"Mujeres (045)",184612,13879,4849,58449,74798,7693,8502,6772,9670
"Quechua (046)",321,55,3,140,88,11,8,5,11
"Aymara (047)",36,6,2,16,6,1,,,5
"Ashaninca (048)",35,4,2,11,15,2,1,,
"Otra lengua nativa (049)",245,49,1,98,71,5,9,6,6
"Castellano (050)",183726,13687,4836,58128,74568,7671,8479,6749,9608
"Idioma extranjero (051)",114,9,,10,41,2,5,9,38
"Es sordomudo/a (052)",135,69,5,46,9,1,,3,2
,,,,,,,,,
"RURAL (054)",90542,13364,2099,51918,20896,617,620,298,730
"Quechua (055)",1825,461,12,1151,167,7,14,7,6
"Aymara (056)",34,8,6,12,6,1,1,,
"Ashaninca (057)",15,4,1,9,,,,,1
"Otra lengua nativa (058)",3959,1100,55,2249,475,31,7,20,22
"Castellano (059)",84595,11712,2021,48473,20243,578,597,271,700
"Idioma extranjero (060)",9,2,,3,2,,1,,1
"Es sordomudo/a (061)",105,77,4,21,3,,,,
"Hombres (063)",49451,6001,1078,27647,13205,442,397,230,451
"Quechua (064)",968,160,8,641,128,7,12,6,6
"Aymara (065)",22,7,2,8,5,,,,
"Ashaninca (066)",8,2,,6,,,,,
"Otra lengua nativa (067)",2029,442,26,1175,318,27,7,16,18
"Castellano (068)",46371,5351,1040,25808,12752,408,377,208,427
"Idioma extranjero (069)",5,2,,2,,,1,,
"Es sordomudo/a (070)",48,37,2,7,2,,,,
"Mujeres (072)",41091,7363,1021,24271,7691,175,223,68,279
"Quechua (073)",857,301,4,510,39,,2,1,
"Aymara (074)",12,1,4,4,1,1,1,,
"Ashaninca (075)",7,2,1,3,,,,,1
"Otra lengua nativa (076)",1930,658,29,1074,157,4,,4,4
"Castellano (077)",38224,6361,981,22665,7491,170,220,63,273
"Idioma extranjero (078)",4,,,1,2,,,,1
"Es sordomudo/a (079)",57,40,2,14,1,,,,
