"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANTABAMBA (000)",12064,265,4208,2251,2027,1964,1349
"Jefe o Jefa (001)",3828,,33,545,1116,1219,915
"Esposa(o) / compañera(o) (002)",1905,,8,424,659,582,232
"Hijo(a) / hijastro(a) (003)",4914,217,3526,984,145,42,
"Yerno / nuera (004)",83,,1,58,22,1,1
"Nieto(a) (005)",424,29,353,42,,,
"Padres / suegros (006)",175,,,,,32,143
"Otro(a) pariente (007)",533,11,251,128,47,55,41
"Trabajador(a) del hogar (008)",8,,1,5,1,,1
"Pensionistas (009)",16,,,5,6,3,2
"Otro(a) no pariente (010)",178,8,35,60,31,30,14
"Hombres (011)",6122,135,2223,1152,1044,958,610
"Jefe o Jefa (012)",2585,,16,368,830,838,533
"Esposa(o) / compañera(o) (013)",135,,6,37,44,34,14
"Hijo(a) / hijastro(a) (014)",2657,111,1850,583,95,18,
"Yerno / nuera (015)",35,,1,18,15,1,
"Nieto(a) (016)",238,14,201,23,,,
"Padres / suegros (017)",44,,,,,10,34
"Otro(a) pariente (018)",303,4,129,84,33,34,19
"Trabajador(a) del hogar (019)",1,,,1,,,
"Pensionistas (020)",12,,,4,5,2,1
"Otro(a) no pariente (021)",112,6,20,34,22,21,9
"Mujeres (022)",5942,130,1985,1099,983,1006,739
"Jefe o Jefa (023)",1243,,17,177,286,381,382
"Esposa(o) / compañera(o) (024)",1770,,2,387,615,548,218
"Hijo(a) / hijastro(a) (025)",2257,106,1676,401,50,24,
"Yerno / nuera (026)",48,,,40,7,,1
"Nieto(a) (027)",186,15,152,19,,,
"Padres / suegros (028)",131,,,,,22,109
"Otro(a) pariente (029)",230,7,122,44,14,21,22
"Trabajador(a) del hogar (030)",7,,1,4,1,,1
"Pensionistas (031)",4,,,1,1,1,1
"Otro(a) no pariente (032)",66,2,15,26,9,9,5
,,,,,,,
"URBANA (033)",8488,172,3042,1647,1409,1337,881
"Jefe o Jefa (034)",2559,,25,383,754,807,590
"Esposa(o) / compañera(o) (035)",1345,,5,290,480,414,156
"Hijo(a) / hijastro(a) (036)",3593,142,2560,757,104,30,
"Yerno / nuera (037)",51,,1,35,13,1,1
"Nieto(a) (038)",276,17,227,32,,,
"Padres / suegros (039)",112,,,,,18,94
"Otro(a) pariente (040)",407,7,200,97,33,43,27
"Trabajador(a) del hogar (041)",8,,1,5,1,,1
"Pensionistas (042)",3,,,1,,2,
"Otro(a) no pariente (043)",134,6,23,47,24,22,12
"Hombres (044)",4260,81,1612,859,691,641,376
"Jefe o Jefa (045)",1689,,11,264,538,548,328
"Esposa(o) / compañera(o) (046)",111,,3,28,39,30,11
"Hijo(a) / hijastro(a) (047)",1937,67,1345,446,66,13,
"Yerno / nuera (048)",21,,1,10,9,1,
"Nieto(a) (049)",161,8,136,17,,,
"Padres / suegros (050)",27,,,,,7,20
"Otro(a) pariente (051)",230,2,102,67,23,26,10
"Trabajador(a) del hogar (052)",1,,,1,,,
"Pensionistas (053)",1,,,,,1,
"Otro(a) no pariente (054)",82,4,14,26,16,15,7
"Mujeres (055)",4228,91,1430,788,718,696,505
"Jefe o Jefa (056)",870,,14,119,216,259,262
"Esposa(o) / compañera(o) (057)",1234,,2,262,441,384,145
"Hijo(a) / hijastro(a) (058)",1656,75,1215,311,38,17,
"Yerno / nuera (059)",30,,,25,4,,1
"Nieto(a) (060)",115,9,91,15,,,
"Padres / suegros (061)",85,,,,,11,74
"Otro(a) pariente (062)",177,5,98,30,10,17,17
"Trabajador(a) del hogar (063)",7,,1,4,1,,1
"Pensionistas (064)",2,,,1,,1,
"Otro(a) no pariente (065)",52,2,9,21,8,7,5
,,,,,,,
"RURAL (066)",3576,93,1166,604,618,627,468
"Jefe o Jefa (067)",1269,,8,162,362,412,325
"Esposa(o) / compañera(o) (068)",560,,3,134,179,168,76
"Hijo(a) / hijastro(a) (069)",1321,75,966,227,41,12,
"Yerno / nuera (070)",32,,,23,9,,
"Nieto(a) (071)",148,12,126,10,,,
"Padres / suegros (072)",63,,,,,14,49
"Otro(a) pariente (073)",126,4,51,31,14,12,14
"Pensionistas (075)",13,,,4,6,1,2
"Otro(a) no pariente (076)",44,2,12,13,7,8,2
"Hombres (077)",1862,54,611,293,353,317,234
"Jefe o Jefa (078)",896,,5,104,292,290,205
"Esposa(o) / compañera(o) (079)",24,,3,9,5,4,3
"Hijo(a) / hijastro(a) (080)",720,44,505,137,29,5,
"Yerno / nuera (081)",14,,,8,6,,
"Nieto(a) (082)",77,6,65,6,,,
"Padres / suegros (083)",17,,,,,3,14
"Otro(a) pariente (084)",73,2,27,17,10,8,9
"Pensionistas (086)",11,,,4,5,1,1
"Otro(a) no pariente (087)",30,2,6,8,6,6,2
"Mujeres (088)",1714,39,555,311,265,310,234
"Jefe o Jefa (089)",373,,3,58,70,122,120
"Esposa(o) / compañera(o) (090)",536,,,125,174,164,73
"Hijo(a) / hijastro(a) (091)",601,31,461,90,12,7,
"Yerno / nuera (092)",18,,,15,3,,
"Nieto(a) (093)",71,6,61,4,,,
"Padres / suegros (094)",46,,,,,11,35
"Otro(a) pariente (095)",53,2,24,14,4,4,5
"Pensionistas (097)",2,,,,1,,1
"Otro(a) no pariente (098)",14,,6,5,1,2,
