"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",23182,480,8533,5503,3608,3153,1905
"Casa independiente (001)",22993,476,8462,5461,3583,3128,1883
"Choza o cabaña (005)",181,4,70,39,25,21,22
"Local no destinado para hab.humana (007)",8,,1,3,,4,
,,,,,,,
"URBANA (009)",2761,45,864,617,579,421,235
"Casa independiente (010)",2758,45,864,616,579,419,235
"Local no destinado para hab.humana (016)",3,,,1,,2,
,,,,,,,
"RURAL (018)",20421,435,7669,4886,3029,2732,1670
"Casa independiente (019)",20235,431,7598,4845,3004,2709,1648
"Choza o cabaña (023)",181,4,70,39,25,21,22
"Local no destinado para hab.humana (025)",5,,1,2,,2,
