"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AIJA (000)",2181,1699,228,107,147
"Agric., ganadería, caza y silvicultura (001)",1275,1219,51,3,2
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",118,18,42,32,26
"Industrias manufactureras (004)",37,33,3,1,
"Suministro de electricidad, gas y agua (005)",2,1,,1,
"Construcción (006)",117,60,43,14,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",116,112,4,,
"Venta, mant.y rep. veh.autom y motoc. (008)",2,1,1,,
"Comercio al por mayor (009)",6,6,,,
"Comercio al por menor (010)",108,105,3,,
"Hoteles y restaurantes (011)",49,47,1,1,
"Trans., almac. y comunicaciones (012)",23,19,3,1,
"Intermediación financiera (013)",2,,,,2
"Activid.inmobil., empres. y alquileres (014)",24,12,6,4,2
"Admin.pub. y defensa; p. segur soc.afil (015)",90,,,,90
"Enseñanza (016)",174,57,64,48,5
"Servicios sociales y de salud (017)",33,13,,,20
"Otras activ. serv.comun.soc y personales (018)",23,17,5,1,
"Hogares privados con servicio doméstico (019)",35,35,,,
"Actividad economica no especificada (021)",61,54,6,1,
"Hombres (022)",1606,1216,195,97,98
"Agric., ganadería, caza y silvicultura (023)",1044,993,47,3,1
"Pesca (024)",2,2,,,
"Explotación de minas y canteras (025)",117,18,42,31,26
"Industrias manufactureras (026)",30,27,2,1,
"Suministro de electricidad, gas y agua (027)",1,1,,,
"Construcción (028)",114,59,41,14,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",38,35,3,,
"Venta, mant.y rep. veh.autom y motoc. (030)",2,1,1,,
"Comercio al por mayor (031)",4,4,,,
"Comercio al por menor (032)",32,30,2,,
"Hoteles y restaurantes (033)",4,4,,,
"Trans., almac. y comunicaciones (034)",22,18,3,1,
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",16,7,4,4,1
"Admin.pub. y defensa; p. segur soc.afil (037)",58,,,,58
"Enseñanza (038)",106,17,45,41,3
"Servicios sociales y de salud (039)",13,5,,,8
"Otras activ. serv.comun.soc y personales (040)",14,10,3,1,
"Hogares privados con servicio doméstico (041)",4,4,,,
"Actividad economica no especificada (043)",22,16,5,1,
"Mujeres (044)",575,483,33,10,49
"Agric., ganadería, caza y silvicultura (045)",231,226,4,,1
