"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PATAZ (000)",17376,295,7582,5540,1476,458,203,76,19,,1727
"Sin Nivel (001)",6586,168,2857,2120,549,183,99,44,13,,553
"Educación Inicial (002)",35,,13,13,1,,,,,,8
"Primaria (003)",7248,106,3501,2282,493,146,60,24,2,,634
"Secundaria (004)",1956,17,890,592,142,36,17,2,2,,258
"Sup. no Univ. Incompleta (005)",370,1,103,119,63,9,3,2,,,70
"Sup. no Univ. Completa (006)",663,1,123,258,134,43,15,3,1,,85
"Sup. Univ. Incompleta (007)",130,,39,49,12,4,4,,,,22
"Sup. Univ. Completa (008)",388,2,56,107,82,37,5,1,1,,97
,,,,,,,,,,,
"URBANA (010)",4825,57,1818,1514,524,175,81,25,7,,624
"Sin Nivel (011)",983,26,387,299,75,35,25,9,3,,124
"Educación Inicial (012)",9,,,5,,,,,,,4
"Primaria (013)",1765,20,760,545,169,54,27,8,1,,181
"Secundaria (014)",976,10,432,293,79,21,10,2,1,,128
"Sup. no Univ. Incompleta (015)",264,,76,83,45,7,3,2,,,48
"Sup. no Univ. Completa (016)",465,,91,183,87,30,10,3,1,,60
"Sup. Univ. Incompleta (017)",95,,32,35,9,2,2,,,,15
"Sup. Univ. Completa (018)",268,1,40,71,60,26,4,1,1,,64
,,,,,,,,,,,
"RURAL (020)",12551,238,5764,4026,952,283,122,51,12,,1103
"Sin Nivel (021)",5603,142,2470,1821,474,148,74,35,10,,429
"Educación Inicial (022)",26,,13,8,1,,,,,,4
"Primaria (023)",5483,86,2741,1737,324,92,33,16,1,,453
"Secundaria (024)",980,7,458,299,63,15,7,,1,,130
"Sup. no Univ. Incompleta (025)",106,1,27,36,18,2,,,,,22
"Sup. no Univ. Completa (026)",198,1,32,75,47,13,5,,,,25
"Sup. Univ. Incompleta (027)",35,,7,14,3,2,2,,,,7
"Sup. Univ. Completa (028)",120,1,16,36,22,11,1,,,,33
