"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUAMANGA (000)",55557,284,947,2455,5350,10324,20906,15291
"De 12 a 14 años (001)",96,,,,,,5,91
"De 15 a 19 años (002)",1558,,,,,,956,602
"De 20 a 24 años (003)",6170,,,,,24,3520,2626
"De 25 a 29 años (004)",7616,,,,,366,4721,2529
"De 30 a 34 años (005)",7531,,,,2,1077,4640,1812
"De 35 a 39 años (006)",6737,,,,55,1780,3602,1300
"De 40 a 44 años (007)",5847,,,,285,2189,2321,1052
"De 45 a 49 años (008)",4546,,,14,636,2157,965,774
"De 50 y más años (009)",15456,284,947,2441,4372,2731,176,4505
"PEA (010)",22675,13,119,607,2272,5170,8373,6121
"De 12 a 14 años (011)",9,,,,,,,9
"De 15 a 19 años (012)",397,,,,,,238,159
"De 20 a 24 años (013)",2017,,,,,13,1086,918
"De 25 a 29 años (014)",3218,,,,,182,1787,1249
"De 30 a 34 años (015)",3613,,,,2,557,2089,965
"De 35 a 39 años (016)",3476,,,,37,979,1728,732
"De 40 a 44 años (017)",2991,,,,179,1237,1029,546
"De 45 a 49 años (018)",2341,,,10,403,1134,358,436
"De 50 y más años (019)",4613,13,119,597,1651,1068,58,1107
"Ocupada (020)",21859,13,117,602,2239,5042,8014,5832
"De 12 a 14 años (021)",9,,,,,,,9
"De 15 a 19 años (022)",367,,,,,,220,147
"De 20 a 24 años (023)",1877,,,,,12,1017,848
"De 25 a 29 años (024)",3040,,,,,173,1712,1155
"De 30 a 34 años (025)",3464,,,,2,534,2000,928
"De 35 a 39 años (026)",3334,,,,36,940,1655,703
"De 40 a 44 años (027)",2925,,,,175,1212,1007,531
"De 45 a 49 años (028)",2296,,,10,396,1112,349,429
"De 50 y más años (029)",4547,13,117,592,1630,1059,54,1082
"Desocupada (030)",816,,2,5,33,128,359,289
"De 15 a 19 años (032)",30,,,,,,18,12
"De 20 a 24 años (033)",140,,,,,1,69,70
"De 25 a 29 años (034)",178,,,,,9,75,94
"De 30 a 34 años (035)",149,,,,,23,89,37
"De 35 a 39 años (036)",142,,,,1,39,73,29
"De 40 a 44 años (037)",66,,,,4,25,22,15
"De 45 a 49 años (038)",45,,,,7,22,9,7
"De 50 y más años (039)",66,,2,5,21,9,4,25
"No PEA (040)",32882,271,828,1848,3078,5154,12533,9170
"De 12 a 14 años (041)",87,,,,,,5,82
"De 15 a 19 años (042)",1161,,,,,,718,443
"De 20 a 24 años (043)",4153,,,,,11,2434,1708
"De 25 a 29 años (044)",4398,,,,,184,2934,1280
"De 30 a 34 años (045)",3918,,,,,520,2551,847
