"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LIMA (000)",3156317,2836856,883502,539517,545583,355308,316745,118687,50209,27305,319461,5562836
"De 12 a 14 años (001)",197904,196191,195094,892,205,,,,,,1713,1302
"De 15 a 19 años (002)",365311,357881,329374,25369,2453,506,179,,,,7430,32509
"De 20 a 24 años (003)",388619,299384,165024,101462,27263,4287,890,458,,,89235,175463
"De 25 a 29 años (004)",365893,275554,64987,116423,68997,19391,5181,437,138,,90339,338099
"De 30 a 34 años (005)",338333,290782,39563,94467,96679,41169,16973,1537,183,211,47551,496426
"De 35 a 39 años (006)",296779,271312,22462,61591,94573,55812,31638,4380,645,211,25467,588341
"De 40 a 44 años (007)",257661,241970,16063,40374,77095,56425,41282,8651,1640,440,15691,614974
"De 45 a 49 años (008)",217104,205685,11925,29391,57554,47945,42388,12428,3173,881,11419,587378
"De 50 y más años (009)",728713,698097,39010,69548,120764,129773,178214,90796,44430,25562,30616,2728344
"Sin nivel (010)",103707,98476,7553,7275,10460,11336,22603,18522,12044,8683,5231,482764
"De 12 a 14 años (011)",1477,1458,1437,13,8,,,,,,19,29
"De 15 a 19 años (012)",2197,2145,1967,131,25,15,7,,,,52,254
"De 20 a 24 años (013)",2165,1621,883,451,197,57,27,6,,,544,1175
"De 25 a 29 años (014)",2300,1648,380,498,402,225,113,15,15,,652,2673
"De 30 a 34 años (015)",5630,4947,432,992,1699,1021,678,91,20,14,683,11247
"De 35 a 39 años (016)",5899,5382,349,678,1389,1318,1239,315,77,17,517,15574
"De 40 a 44 años (017)",6276,5825,360,497,1112,1174,1722,686,211,63,451,20652
"De 45 a 49 años (018)",6705,6343,263,432,849,1098,1966,1141,444,150,362,26820
