"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PAUCAR DEL SARA SARA (000)",3207,2357,850
"Red pública dentro de la vivienda (001)",2034,1712,322
"Red pública fuera de la vivienda (002)",197,140,57
"Pilón de uso público (003)",54,18,36
"Pozo (005)",19,7,12
"Río, acequia, manatial o similar (006)",729,402,327
"Vecino (007)",105,53,52
"Otro (008)",69,25,44
,,,
"URBANA (010)",2137,1801,336
"Red pública dentro de la vivienda (011)",1632,1406,226
"Red pública fuera de la vivienda (012)",128,111,17
"Pilón de uso público (013)",13,6,7
"Pozo (015)",6,3,3
"Río, acequia, manatial o similar (016)",285,238,47
"Vecino (017)",50,24,26
"Otro (018)",23,13,10
,,,
"RURAL (020)",1070,556,514
"Red pública dentro de la vivienda (021)",402,306,96
"Red pública fuera de la vivienda (022)",69,29,40
"Pilón de uso público (023)",41,12,29
"Pozo (025)",13,4,9
"Río, acequia, manatial o similar (026)",444,164,280
"Vecino (027)",55,29,26
"Otro (028)",46,12,34
