"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SECHURA (000)",52042,11817,5534,1863,32962
"Hombres (001)",26071,4972,2864,1234,17094
"Mujeres (002)",25971,6845,2670,629,15868
"PEA (003)",20424,3011,2043,923,14525
"Hombres (004)",14993,1911,1420,737,10991
"Mujeres (005)",5431,1100,623,186,3534
"Ocupada (006)",19445,2877,1953,880,13810
"Hombres (007)",14164,1806,1337,703,10381
"Mujeres (008)",5281,1071,616,177,3429
"Desocupada (009)",979,134,90,43,715
"Hombres (010)",829,105,83,34,610
"Mujeres (011)",150,29,7,9,105
"No PEA (012)",31618,8806,3491,940,18437
"Hombres (013)",11078,3061,1444,497,6103
"Mujeres (014)",20540,5745,2047,443,12334
,,,,,
"URBANA (018)",48808,10740,5377,1797,31025
"Hombres (019)",24358,4462,2792,1192,16002
"Mujeres (020)",24450,6278,2585,605,15023
"PEA (021)",18970,2693,1983,890,13479
"Hombres (022)",13792,1663,1374,708,10110
"Mujeres (023)",5178,1030,609,182,3369
"Ocupada (024)",18044,2569,1898,848,12802
"Hombres (025)",13012,1568,1296,675,9534
"Mujeres (026)",5032,1001,602,173,3268
"Desocupada (027)",926,124,85,42,677
"Hombres (028)",780,95,78,33,576
"Mujeres (029)",146,29,7,9,101
"No PEA (030)",29838,8047,3394,907,17546
"Hombres (031)",10566,2799,1418,484,5892
"Mujeres (032)",19272,5248,1976,423,11654
,,,,,
"RURAL (036)",3234,1077,157,66,1937
"Hombres (037)",1713,510,72,42,1092
"Mujeres (038)",1521,567,85,24,845
"PEA (039)",1454,318,60,33,1046
"Hombres (040)",1201,248,46,29,881
"Mujeres (041)",253,70,14,4,165
"Ocupada (042)",1401,308,55,32,1008
"Hombres (043)",1152,238,41,28,847
"Mujeres (044)",249,70,14,4,161
"Desocupada (045)",53,10,5,1,38
"Hombres (046)",49,10,5,1,34
"Mujeres (047)",4,,,,4
"No PEA (048)",1780,759,97,33,891
"Hombres (049)",512,262,26,13,211
"Mujeres (050)",1268,497,71,20,680
