"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia NAZCA (000)",54527,3825,1379,14060,21894,3315,4835,1932,3287
"Quechua (001)",4206,887,12,1822,1161,100,119,47,58
"Aymara (002)",93,9,,26,39,9,6,2,2
"Ashaninca (003)",13,1,,7,4,,,,1
"Castellano (005)",50071,2898,1363,12201,20680,3200,4694,1875,3160
"Idioma extranjero (006)",104,1,,1,8,5,15,8,66
"Es sordomudo/a (007)",40,29,4,3,2,1,1,,
"Hombres (009)",27941,1515,692,6992,11853,1680,2311,1150,1748
"Quechua (010)",2054,174,5,905,751,68,77,39,35
"Aymara (011)",55,2,,13,26,8,3,1,2
"Ashaninca (012)",6,,,3,2,,,,1
"Castellano (014)",25745,1324,686,6070,11070,1600,2224,1104,1667
"Idioma extranjero (015)",63,1,,1,3,3,6,6,43
"Es sordomudo/a (016)",18,14,1,,1,1,1,,
"Mujeres (018)",26586,2310,687,7068,10041,1635,2524,782,1539
"Quechua (019)",2152,713,7,917,410,32,42,8,23
"Aymara (020)",38,7,,13,13,1,3,1,
"Ashaninca (021)",7,1,,4,2,,,,
"Castellano (023)",24326,1574,677,6131,9610,1600,2470,771,1493
"Idioma extranjero (024)",41,,,,5,2,9,2,23
"Es sordomudo/a (025)",22,15,3,3,1,,,,
,,,,,,,,,
"URBANA (027)",47861,3048,1255,11762,19153,3064,4547,1851,3181
"Quechua (028)",3193,570,7,1342,987,81,108,45,53
"Aymara (029)",81,8,,23,32,9,5,2,2
"Ashaninca (030)",8,1,,5,2,,,,
"Castellano (032)",44441,2441,1245,10388,18123,2968,4419,1797,3060
"Idioma extranjero (033)",103,1,,1,8,5,15,7,66
"Es sordomudo/a (034)",35,27,3,3,1,1,,,
"Hombres (036)",24296,1246,636,5704,10244,1544,2146,1097,1679
"Quechua (037)",1548,97,4,631,627,53,68,37,31
"Aymara (038)",49,2,,11,23,8,2,1,2
"Ashaninca (039)",5,,,3,2,,,,
"Castellano (041)",22617,1133,631,5058,9589,1479,2070,1054,1603
"Idioma extranjero (042)",62,1,,1,3,3,6,5,43
"Es sordomudo/a (043)",15,13,1,,,1,,,
"Mujeres (045)",23565,1802,619,6058,8909,1520,2401,754,1502
"Quechua (046)",1645,473,3,711,360,28,40,8,22
"Aymara (047)",32,6,,12,9,1,3,1,
"Ashaninca (048)",3,1,,2,,,,,
"Castellano (050)",21824,1308,614,5330,8534,1489,2349,743,1457
"Idioma extranjero (051)",41,,,,5,2,9,2,23
"Es sordomudo/a (052)",20,14,2,3,1,,,,
,,,,,,,,,
"RURAL (054)",6666,777,124,2298,2741,251,288,81,106
"Quechua (055)",1013,317,5,480,174,19,11,2,5
"Aymara (056)",12,1,,3,7,,1,,
"Ashaninca (057)",5,,,2,2,,,,1
"Castellano (059)",5630,457,118,1813,2557,232,275,78,100
"Idioma extranjero (060)",1,,,,,,,1,
"Es sordomudo/a (061)",5,2,1,,1,,1,,
"Hombres (063)",3645,269,56,1288,1609,136,165,53,69
"Quechua (064)",506,77,1,274,124,15,9,2,4
"Aymara (065)",6,,,2,3,,1,,
"Ashaninca (066)",1,,,,,,,,1
"Castellano (068)",3128,191,55,1012,1481,121,154,50,64
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",3,1,,,1,,1,,
"Mujeres (072)",3021,508,68,1010,1132,115,123,28,37
"Quechua (073)",507,240,4,206,50,4,2,,1
"Aymara (074)",6,1,,1,4,,,,
"Ashaninca (075)",4,,,2,2,,,,
"Castellano (077)",2502,266,63,801,1076,111,121,28,36
"Es sordomudo/a (079)",2,1,1,,,,,,
