"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SIHUAS (000)",28564,7465,1054,11327,5907,620,907,510,774
"Quechua (001)",10520,3605,366,4264,1824,111,214,61,75
"Aymara (002)",13,5,2,4,1,,1,,
"Ashaninca (003)",1,,,,,1,,,
"Otra lengua nativa (004)",4,2,,1,,,1,,
"Castellano (005)",17965,3800,685,7056,4079,507,691,449,698
"Idioma extranjero (006)",1,,,,,,,,1
"Es sordomudo/a (007)",60,53,1,2,3,1,,,
"Hombres (009)",14045,2556,544,5743,3548,400,536,264,454
"Quechua (010)",5048,1197,188,2221,1144,78,141,32,47
"Aymara (011)",4,1,,1,1,,1,,
"Ashaninca (012)",1,,,,,1,,,
"Otra lengua nativa (013)",1,,,,,,1,,
"Castellano (014)",8967,1338,356,3520,2401,320,393,232,407
"Es sordomudo/a (016)",24,20,,1,2,1,,,
"Mujeres (018)",14519,4909,510,5584,2359,220,371,246,320
"Quechua (019)",5472,2408,178,2043,680,33,73,29,28
"Aymara (020)",9,4,2,3,,,,,
"Otra lengua nativa (022)",3,2,,1,,,,,
"Castellano (023)",8998,2462,329,3536,1678,187,298,217,291
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",36,33,1,1,1,,,,
,,,,,,,,,
"URBANA (027)",7485,1025,210,2298,1968,333,664,366,621
"Quechua (028)",1238,266,10,417,311,40,119,31,44
"Aymara (029)",3,,,2,,,1,,
"Ashaninca (030)",1,,,,,1,,,
"Castellano (032)",6236,757,200,1878,1654,292,544,335,576
"Idioma extranjero (033)",1,,,,,,,,1
"Es sordomudo/a (034)",6,2,,1,3,,,,
"Hombres (036)",3740,334,108,1129,1085,193,358,182,351
"Quechua (037)",577,63,3,207,177,27,64,11,25
"Aymara (038)",1,,,,,,1,,
"Ashaninca (039)",1,,,,,1,,,
"Castellano (041)",3158,271,105,921,906,165,293,171,326
"Es sordomudo/a (043)",3,,,1,2,,,,
"Mujeres (045)",3745,691,102,1169,883,140,306,184,270
"Quechua (046)",661,203,7,210,134,13,55,20,19
"Aymara (047)",2,,,2,,,,,
"Castellano (050)",3078,486,95,957,748,127,251,164,250
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",3,2,,,1,,,,
,,,,,,,,,
"RURAL (054)",21079,6440,844,9029,3939,287,243,144,153
"Quechua (055)",9282,3339,356,3847,1513,71,95,30,31
"Aymara (056)",10,5,2,2,1,,,,
"Otra lengua nativa (058)",4,2,,1,,,1,,
"Castellano (059)",11729,3043,485,5178,2425,215,147,114,122
"Es sordomudo/a (061)",54,51,1,1,,1,,,
"Hombres (063)",10305,2222,436,4614,2463,207,178,82,103
"Quechua (064)",4471,1134,185,2014,967,51,77,21,22
"Aymara (065)",3,1,,1,1,,,,
"Otra lengua nativa (067)",1,,,,,,1,,
"Castellano (068)",5809,1067,251,2599,1495,155,100,61,81
"Es sordomudo/a (070)",21,20,,,,1,,,
"Mujeres (072)",10774,4218,408,4415,1476,80,65,62,50
"Quechua (073)",4811,2205,171,1833,546,20,18,9,9
"Aymara (074)",7,4,2,1,,,,,
"Otra lengua nativa (076)",3,2,,1,,,,,
"Castellano (077)",5920,1976,234,2579,930,60,47,53,41
"Es sordomudo/a (079)",33,31,1,1,,,,,
