"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SANCHEZ CARRION (000)",29513,7423,22090
"Red pública dentro de la vivienda (001)",1971,1082,889
"Red pública fuera de la vivienda (002)",1571,442,1129
"Pilón de uso público (003)",478,54,424
"Camión - cisterna u otro similar (004)",17,5,12
"Pozo (005)",5737,331,5406
"Río, acequia, manatial o similar (006)",18905,5357,13548
"Vecino (007)",656,100,556
"Otro (008)",178,52,126
,,,
"URBANA (010)",7454,5728,1726
"Red pública dentro de la vivienda (011)",932,768,164
"Red pública fuera de la vivienda (012)",244,186,58
"Pilón de uso público (013)",15,7,8
"Camión - cisterna u otro similar (014)",4,4,
"Pozo (015)",275,126,149
"Río, acequia, manatial o similar (016)",5740,4558,1182
"Vecino (017)",193,58,135
"Otro (018)",51,21,30
,,,
"RURAL (020)",22059,1695,20364
"Red pública dentro de la vivienda (021)",1039,314,725
"Red pública fuera de la vivienda (022)",1327,256,1071
"Pilón de uso público (023)",463,47,416
"Camión - cisterna u otro similar (024)",13,1,12
"Pozo (025)",5462,205,5257
"Río, acequia, manatial o similar (026)",13165,799,12366
"Vecino (027)",463,42,421
"Otro (028)",127,31,96
