"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCA SANCOS (000)",3542,495,812,1645,14,545,31
"Conviviente (001)",952,130,244,433,3,137,5
"Separado(a) (002)",100,5,24,63,,7,1
"Casado(a) (003)",1554,234,284,788,5,239,4
"Viudo(a) (004)",250,5,49,168,2,26,
"Divorciado(a) (005)",18,2,7,8,,,1
"Soltero(a) (006)",668,119,204,185,4,136,20
"Hombres (008)",2171,324,638,998,10,200,1
"Conviviente (009)",633,86,201,304,3,39,
"Separado(a) (010)",37,2,15,17,,3,
"Casado(a) (011)",1036,178,234,546,3,75,
"Viudo(a) (012)",72,2,16,45,1,8,
"Divorciado(a) (013)",12,2,6,4,,,
"Soltero(a) (014)",381,54,166,82,3,75,1
"Mujeres (016)",1371,171,174,647,4,345,30
"Conviviente (017)",319,44,43,129,,98,5
"Separado(a) (018)",63,3,9,46,,4,1
"Casado(a) (019)",518,56,50,242,2,164,4
"Viudo(a) (020)",178,3,33,123,1,18,
"Divorciado(a) (021)",6,,1,4,,,1
"Soltero(a) (022)",287,65,38,103,1,61,19
,,,,,,,
"URBANA (024)",2318,462,513,1042,12,261,28
"Conviviente (025)",625,122,150,274,3,72,4
"Separado(a) (026)",69,4,17,44,,3,1
"Casado(a) (027)",1044,221,184,508,5,122,4
"Viudo(a) (028)",128,4,21,88,1,14,
"Divorciado(a) (029)",8,1,3,3,,,1
"Soltero(a) (030)",444,110,138,125,3,50,18
"Hombres (032)",1432,296,428,602,8,98,
"Conviviente (033)",418,78,133,189,3,15,
"Separado(a) (034)",22,2,10,8,,2,
"Casado(a) (035)",697,165,156,331,3,42,
"Viudo(a) (036)",27,1,6,15,,5,
"Divorciado(a) (037)",4,1,2,1,,,
"Soltero(a) (038)",264,49,121,58,2,34,
"Mujeres (040)",886,166,85,440,4,163,28
"Conviviente (041)",207,44,17,85,,57,4
"Separado(a) (042)",47,2,7,36,,1,1
"Casado(a) (043)",347,56,28,177,2,80,4
"Viudo(a) (044)",101,3,15,73,1,9,
"Divorciado(a) (045)",4,,1,2,,,1
"Soltero(a) (046)",180,61,17,67,1,16,18
,,,,,,,
"RURAL (048)",1224,33,299,603,2,284,3
"Conviviente (049)",327,8,94,159,,65,1
"Separado(a) (050)",31,1,7,19,,4,
"Casado(a) (051)",510,13,100,280,,117,
"Viudo(a) (052)",122,1,28,80,1,12,
"Divorciado(a) (053)",10,1,4,5,,,
"Soltero(a) (054)",224,9,66,60,1,86,2
"Hombres (056)",739,28,210,396,2,102,1
"Conviviente (057)",215,8,68,115,,24,
"Separado(a) (058)",15,,5,9,,1,
"Casado(a) (059)",339,13,78,215,,33,
"Viudo(a) (060)",45,1,10,30,1,3,
"Divorciado(a) (061)",8,1,4,3,,,
"Soltero(a) (062)",117,5,45,24,1,41,1
"Mujeres (064)",485,5,89,207,,182,2
"Conviviente (065)",112,,26,44,,41,1
"Separado(a) (066)",16,1,2,10,,3,
"Casado(a) (067)",171,,22,65,,84,
"Viudo(a) (068)",77,,18,50,,9,
"Divorciado(a) (069)",2,,,2,,,
"Soltero(a) (070)",107,4,21,36,,45,1
