"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUARI (000)",62598,1195,20573,15404,10861,8980,5585
"Hombres (001)",32135,587,10391,8342,5897,4397,2521
"Mujeres (002)",30463,608,10182,7062,4964,4583,3064
"Viviendas particulares (003)",59801,1192,20489,14357,9554,8637,5572
"Hombres (004)",29627,585,10344,7458,4656,4073,2511
"Mujeres (005)",30174,607,10145,6899,4898,4564,3061
"Viviendas colectivas (006)",2713,2,80,1019,1278,324,10
"Hombres (007)",2449,1,45,865,1220,309,9
"Mujeres (008)",264,1,35,154,58,15,1
"Otro tipo (009)",84,1,4,28,29,19,3
"Hombres (010)",59,1,2,19,21,15,1
"Mujeres (011)",25,,2,9,8,4,2
,,,,,,,
"URBANA (012)",22313,432,7074,5620,4091,3203,1893
"Hombres (013)",11249,206,3661,2910,2030,1584,858
"Mujeres (014)",11064,226,3413,2710,2061,1619,1035
"Viviendas particulares (015)",21810,429,6993,5404,3965,3136,1883
"Hombres (016)",10939,204,3615,2795,1940,1534,851
"Mujeres (017)",10871,225,3378,2609,2025,1602,1032
"Viviendas colectivas (018)",419,2,77,188,97,48,7
"Hombres (019)",251,1,44,96,69,35,6
"Mujeres (020)",168,1,33,92,28,13,1
"Otro tipo (021)",84,1,4,28,29,19,3
"Hombres (022)",59,1,2,19,21,15,1
"Mujeres (023)",25,,2,9,8,4,2
,,,,,,,
"RURAL (024)",40285,763,13499,9784,6770,5777,3692
"Hombres (025)",20886,381,6730,5432,3867,2813,1663
"Mujeres (026)",19399,382,6769,4352,2903,2964,2029
"Viviendas particulares (027)",37991,763,13496,8953,5589,5501,3689
"Hombres (028)",18688,381,6729,4663,2716,2539,1660
"Mujeres (029)",19303,382,6767,4290,2873,2962,2029
"Viviendas colectivas (030)",2294,,3,831,1181,276,3
"Hombres (031)",2198,,1,769,1151,274,3
"Mujeres (032)",96,,2,62,30,2,
