"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TACNA (000)",258846,4174,66328,76885,60114,39196,12149
"Casa independiente (001)",232477,3703,59063,69001,53867,35651,11192
"Departamento en edificio (002)",6748,104,1572,1669,1909,1149,345
"Vivienda en quinta (003)",1222,20,289,378,304,177,54
"Vivienda en casa de vecindad (004)",1386,34,359,478,288,171,56
"Choza o cabaña (005)",4849,52,1235,1400,1010,868,284
"Vivienda improvisada (006)",11788,254,3738,3843,2634,1113,206
"Local no destinado para hab.humana (007)",306,6,60,95,79,54,12
"Otro tipo (008)",70,1,12,21,23,13,
,,,,,,,
"URBANA (009)",242401,3960,62414,72316,56514,36282,10915
"Casa independiente (010)",220923,3541,56390,65839,51296,33614,10243
"Departamento en edificio (011)",6748,104,1572,1669,1909,1149,345
"Vivienda en quinta (012)",1222,20,289,378,304,177,54
"Vivienda en casa de vecindad (013)",1386,34,359,478,288,171,56
"Vivienda improvisada (015)",11788,254,3738,3843,2634,1113,206
"Local no destinado para hab.humana (016)",294,6,59,93,76,49,11
"Otro tipo (017)",40,1,7,16,7,9,
,,,,,,,
"RURAL (018)",16445,214,3914,4569,3600,2914,1234
"Casa independiente (019)",11554,162,2673,3162,2571,2037,949
"Choza o cabaña (023)",4849,52,1235,1400,1010,868,284
"Local no destinado para hab.humana (025)",12,,1,2,3,5,1
"Otro tipo (026)",30,,5,5,16,4,
