"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHICLAYO (000)",164816,750284,153529,701171,11287,49113
"Casa independiente (001)",153458,709592,142456,661708,11002,47884
"Departamento en edificio (002)",6787,23824,6787,23824,,
"Vivienda en quinta (003)",1792,6659,1792,6659,,
"Vivienda en casa de vecindad (004)",2006,7395,2006,7395,,
"Choza o cabaña (005)",243,1029,,,243,1029
"Vivienda improvisada (006)",262,931,262,931,,
"Local no dest.para hab. humana (007)",243,770,204,577,39,193
"Otro tipo (008)",25,84,22,77,3,7
