"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CONDORCANQUI",,,,,,
"Viviendas particulares (001)",8650,8594,46,7,2,1
"Ocupantes presentes (002)",42662,42086,445,90,24,17
"Casa independiente",,,,,,
"Viviendas particulares (004)",1991,1956,27,5,2,1
"Ocupantes presentes (005)",9759,9409,245,64,24,17
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",7,6,1,,,
"Ocupantes presentes (008)",15,10,5,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",14,14,,,,
"Ocupantes presentes (011)",33,33,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",47,43,3,1,,
"Ocupantes presentes (014)",166,130,24,12,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",6571,6556,14,1,,
"Ocupantes presentes (017)",32596,32422,160,14,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",15,14,1,,,
"Ocupantes presentes (020)",72,61,11,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",3,3,,,,
"Ocupantes presentes (023)",13,13,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",8,8,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",1226,1189,29,6,2,
"Ocupantes presentes (029)",6124,5762,262,76,24,
"Casa independiente",,,,,,
"Viviendas particulares (031)",1142,1111,24,5,2,
"Ocupantes presentes (032)",5831,5521,222,64,24,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",7,6,1,,,
"Ocupantes presentes (035)",15,10,5,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",14,14,,,,
"Ocupantes presentes (038)",33,33,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",47,43,3,1,,
"Ocupantes presentes (041)",166,130,24,12,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",15,14,1,,,
"Ocupantes presentes (047)",72,61,11,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",1,1,,,,
"Ocupantes presentes (050)",7,7,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",7424,7405,17,1,,1
"Ocupantes presentes (056)",36538,36324,183,14,,17
"Casa independiente",,,,,,
"Viviendas particulares (058)",849,845,3,,,1
"Ocupantes presentes (059)",3928,3888,23,,,17
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",6571,6556,14,1,,
"Ocupantes presentes (071)",32596,32422,160,14,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",6,6,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",8,8,,,,
