"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MELGAR (000)",24305,2620,24,9341,7748,866,1690,509,1507
"Empleado (001)",3137,23,,132,549,239,896,212,1086
"Obrero (002)",3578,348,1,1358,1454,134,169,49,65
"Trabajador independiente (003)",11502,1268,4,4977,3868,386,502,205,292
"Empleador o patrono (004)",333,36,,117,112,17,19,9,23
"Trabajador familiar no remunerado (005)",5543,926,18,2659,1684,81,102,32,41
"Trabajador del hogar (006)",212,19,1,98,81,9,2,2,
"Hombres (008)",14281,762,9,5011,5411,597,1071,376,1044
"Empleado (009)",2058,3,,70,399,179,531,162,714
"Obrero (010)",2623,105,1,842,1288,121,160,48,58
"Trabajador independiente (011)",7411,480,3,3247,2756,243,314,139,229
"Empleador o patrono (012)",217,10,,79,81,13,10,6,18
"Trabajador familiar no remunerado (013)",1931,159,5,757,870,39,56,20,25
"Trabajador del hogar (014)",41,5,,16,17,2,,1,
"Mujeres (016)",10024,1858,15,4330,2337,269,619,133,463
"Empleado (017)",1079,20,,62,150,60,365,50,372
"Obrero (018)",955,243,,516,166,13,9,1,7
"Trabajador independiente (019)",4091,788,1,1730,1112,143,188,66,63
"Empleador o patrono (020)",116,26,,38,31,4,9,3,5
"Trabajador familiar no remunerado (021)",3612,767,13,1902,814,42,46,12,16
"Trabajador del hogar (022)",171,14,1,82,64,7,2,1,
,,,,,,,,,
"URBANA (024)",10262,585,4,2615,3519,639,1336,397,1167
"Empleado (025)",2584,19,,99,415,196,796,182,877
"Obrero (026)",1385,47,,388,718,87,82,33,30
"Trabajador independiente (027)",5042,387,2,1682,1892,297,400,159,223
"Empleador o patrono (028)",169,12,,36,71,14,15,7,14
"Trabajador familiar no remunerado (029)",936,112,2,343,364,37,41,14,23
"Trabajador del hogar (030)",146,8,,67,59,8,2,2,
"Hombres (032)",6039,143,3,1316,2336,411,786,283,761
"Empleado (033)",1619,3,,46,296,139,450,138,547
"Obrero (034)",1170,21,,296,640,77,77,32,27
"Trabajador independiente (035)",2755,92,1,831,1163,169,233,102,164
"Empleador o patrono (036)",106,3,,21,48,10,9,4,11
"Trabajador familiar no remunerado (037)",363,23,2,113,176,14,17,6,12
"Trabajador del hogar (038)",26,1,,9,13,2,,1,
"Mujeres (040)",4223,442,1,1299,1183,228,550,114,406
"Empleado (041)",965,16,,53,119,57,346,44,330
"Obrero (042)",215,26,,92,78,10,5,1,3
"Trabajador independiente (043)",2287,295,1,851,729,128,167,57,59
"Empleador o patrono (044)",63,9,,15,23,4,6,3,3
"Trabajador familiar no remunerado (045)",573,89,,230,188,23,24,8,11
"Trabajador del hogar (046)",120,7,,58,46,6,2,1,
,,,,,,,,,
"RURAL (048)",14043,2035,20,6726,4229,227,354,112,340
"Empleado (049)",553,4,,33,134,43,100,30,209
"Obrero (050)",2193,301,1,970,736,47,87,16,35
"Trabajador independiente (051)",6460,881,2,3295,1976,89,102,46,69
"Empleador o patrono (052)",164,24,,81,41,3,4,2,9
"Trabajador familiar no remunerado (053)",4607,814,16,2316,1320,44,61,18,18
"Trabajador del hogar (054)",66,11,1,31,22,1,,,
"Hombres (056)",8242,619,6,3695,3075,186,285,93,283
"Empleado (057)",439,,,24,103,40,81,24,167
"Obrero (058)",1453,84,1,546,648,44,83,16,31
"Trabajador independiente (059)",4656,388,2,2416,1593,74,81,37,65
"Empleador o patrono (060)",111,7,,58,33,3,1,2,7
"Trabajador familiar no remunerado (061)",1568,136,3,644,694,25,39,14,13
"Trabajador del hogar (062)",15,4,,7,4,,,,
"Mujeres (064)",5801,1416,14,3031,1154,41,69,19,57
"Empleado (065)",114,4,,9,31,3,19,6,42
"Obrero (066)",740,217,,424,88,3,4,,4
"Trabajador independiente (067)",1804,493,,879,383,15,21,9,4
"Empleador o patrono (068)",53,17,,23,8,,3,,2
"Trabajador familiar no remunerado (069)",3039,678,13,1672,626,19,22,4,5
"Trabajador del hogar (070)",51,7,1,24,18,1,,,
