"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BOLOGNESI (000)",27116,4071,1105,10960,7329,932,1057,575,1087
"Jefe o Jefa (001)",7740,913,49,3414,1981,269,455,173,486
"Esposa(o)/ compa¤era(o) (002)",4219,811,32,1872,953,134,211,41,165
"Hijo(a)/ hijastro(a) (003)",10531,1534,785,4065,3093,321,242,239,252
"Yerno/ nuera (004)",396,20,10,77,159,36,33,19,42
"Nieto(a) (005)",1402,354,131,576,260,41,13,19,8
"Padres/ suegros (006)",343,164,,148,18,2,3,,8
"Otro(a) pariente (007)",1932,247,89,667,644,96,68,51,70
"Trabajador(a) del hogar (008)",24,2,,9,10,2,,1,
"Pensionista (009)",24,,1,1,5,2,3,3,9
"Otro(a) no pariente (010)",505,26,8,131,206,29,29,29,47
"Hombres (012)",13437,1397,526,5371,4170,468,534,335,636
"Jefe o Jefa (013)",5346,299,21,2407,1585,193,322,137,382
"Esposa(o)/ compa¤era(o) (014)",249,12,3,91,89,15,15,5,19
"Hijo(a)/ hijastro(a) (015)",5482,770,387,2072,1742,148,118,117,128
"Yerno/ nuera (016)",176,,3,35,76,14,18,6,24
"Nieto(a) (017)",755,192,64,301,160,22,3,9,4
"Padres/ suegros (018)",96,20,,60,10,2,1,,3
"Otro(a) pariente (019)",1006,92,42,335,365,53,41,37,41
"Trabajador(a) del hogar (020)",6,1,,1,2,1,,1,
"Pensionista (021)",17,,1,,5,,2,2,7
"Otro(a) no pariente (022)",304,11,5,69,136,20,14,21,28
"Mujeres (024)",13679,2674,579,5589,3159,464,523,240,451
"Jefe o Jefa (025)",2394,614,28,1007,396,76,133,36,104
"Esposa(o)/ compa¤era(o) (026)",3970,799,29,1781,864,119,196,36,146
"Hijo(a)/ hijastro(a) (027)",5049,764,398,1993,1351,173,124,122,124
"Yerno/ nuera (028)",220,20,7,42,83,22,15,13,18
"Nieto(a) (029)",647,162,67,275,100,19,10,10,4
"Padres/ suegros (030)",247,144,,88,8,,2,,5
"Otro(a) pariente (031)",926,155,47,332,279,43,27,14,29
"Trabajador(a) del hogar (032)",18,1,,8,8,1,,,
"Pensionista (033)",7,,,1,,2,1,1,2
"Otro(a) no pariente (034)",201,15,3,62,70,9,15,8,19
,,,,,,,,,
"URBANA (036)",17552,2138,691,6501,5098,783,913,463,965
"Jefe o Jefa (037)",4957,482,26,1906,1348,234,393,130,438
"Esposa(o)/ compa¤era(o) (038)",2583,369,17,1055,649,115,189,36,153
"Hijo(a)/ hijastro(a) (039)",6725,773,489,2481,2110,264,209,192,207
"Yerno/ nuera (040)",266,13,7,41,94,30,30,14,37
"Nieto(a) (041)",925,212,90,368,190,32,11,15,7
"Padres/ suegros (042)",244,106,,110,17,2,3,,6
"Otro(a) pariente (043)",1399,166,55,433,503,77,50,47,68
"Trabajador(a) del hogar (044)",18,,,9,6,2,,1,
"Pensionista (045)",21,,1,1,3,2,3,3,8
"Otro(a) no pariente (046)",414,17,6,97,178,25,25,25,41
