"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANDARAVE (000)",3180,3104,737,495,522,386,462,276,166,60,76,8546
"De 12 a 14 años (001)",223,221,221,,,,,,,,2,
"De 15 a 19 años (002)",313,311,260,45,5,,1,,,,2,59
"De 20 a 24 años (003)",293,268,88,140,32,7,1,,,,25,229
"De 25 a 29 años (004)",313,296,50,116,85,35,8,1,1,,17,439
"De 30 a 34 años (005)",335,326,27,67,125,70,33,4,,,9,695
"De 35 a 39 años (006)",294,285,19,35,95,69,55,12,,,9,738
"De 40 a 44 años (007)",260,257,9,20,66,61,68,25,8,,3,858
"De 45 a 49 años (008)",232,230,13,17,34,52,69,34,11,,2,849
"De 50 y más años (009)",917,910,50,55,80,92,227,200,146,60,7,4679
"Conviviente (010)",945,931,78,251,266,143,124,41,23,5,14,2261
"De 12 a 14 años (011)",3,1,1,,,,,,,,2,
"De 15 a 19 años (012)",55,53,22,28,3,,,,,,2,34
"De 20 a 24 años (013)",144,140,22,88,25,4,1,,,,4,154
"De 25 a 29 años (014)",180,177,17,70,59,22,7,1,1,,3,297
"De 30 a 34 años (015)",180,178,4,27,85,42,17,3,,,2,413
"De 35 a 39 años (016)",135,134,5,14,50,29,34,2,,,1,359
"De 40 a 44 años (017)",92,92,4,6,26,24,25,7,,,,285
"De 45 a 49 años (018)",62,62,1,6,9,14,19,10,3,,,238
"De 50 y más años (019)",94,94,2,12,9,8,21,18,19,5,,481
"Separado(a) (020)",103,103,1,31,22,14,20,7,7,1,,325
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",10,10,,10,,,,,,,,10
"De 25 a 29 años (024)",14,14,,10,3,1,,,,,,19
"De 30 a 34 años (025)",15,15,,3,6,3,3,,,,,37
"De 35 a 39 años (026)",12,12,,2,5,4,,1,,,,30
