"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CASTILLA (000)",10175,175,3877,3478,1133,376,178,38,19,,901
"Conviviente (001)",3182,50,1310,1128,306,80,50,10,,,248
"Separado(a) (002)",422,14,174,145,44,10,7,1,2,,25
"Casado(a) (003)",4676,74,1787,1633,579,196,84,19,10,,294
"Viudo(a) (004)",901,27,366,309,72,38,17,6,2,,64
"Divorciado(a) (005)",59,3,17,15,12,1,3,,,,8
"Soltero(a) (006)",935,7,223,248,120,51,17,2,5,,262
,,,,,,,,,,,
"URBANA (008)",5865,92,2077,2016,715,231,120,25,12,,577
"Conviviente (009)",1744,21,692,627,173,49,34,4,,,144
"Separado(a) (010)",267,8,107,95,26,6,4,1,2,,18
"Casado(a) (011)",2695,47,947,939,373,121,58,15,6,,189
"Viudo(a) (012)",474,11,179,166,40,19,10,4,,,45
"Divorciado(a) (013)",42,,10,14,10,1,1,,,,6
"Soltero(a) (014)",643,5,142,175,93,35,13,1,4,,175
,,,,,,,,,,,
"RURAL (016)",4310,83,1800,1462,418,145,58,13,7,,324
"Conviviente (017)",1438,29,618,501,133,31,16,6,,,104
"Separado(a) (018)",155,6,67,50,18,4,3,,,,7
"Casado(a) (019)",1981,27,840,694,206,75,26,4,4,,105
"Viudo(a) (020)",427,16,187,143,32,19,7,2,2,,19
"Divorciado(a) (021)",17,3,7,1,2,,2,,,,2
"Soltero(a) (022)",292,2,81,73,27,16,4,1,1,,87
