"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MOYOBAMBA (000)",39240,102540,94080,,2365,91.7,2.3
"De 12 a 14 años (001)",4287,35,34,,9,97.1,25.7
"De 15 a 19 años (002)",5987,1644,1620,401,98.5,24.4,
"De 20 a 24 años (003)",5049,5536,5408,611,97.7,11,
"De 25 a 29 años (004)",4730,8951,8711,573,97.3,6.4,
"De 30 a 34 años (005)",4132,11249,10871,422,96.6,3.8,
"De 35 a 39 años (006)",3579,12572,12006,241,95.5,1.9,
"De 40 a 44 años (007)",2936,12555,11870,90,94.5,0.7,
"De 45 a 49 años (008)",2253,11110,10282,17,92.5,0.2,
"De 50 y más años (009)",6287,38888,33278,1,85.6,,
"PEA (010)",11122,27653,25952,433,93.8,1.6,
"De 12 a 14 años (011)",271,8,7,1,87.5,12.5,
"De 15 a 19 años (012)",1208,294,291,52,99,17.7,
"De 20 a 24 años (013)",1475,1162,1140,95,98.1,8.2,
"De 25 a 29 años (014)",1541,2095,2046,99,97.7,4.7,
"De 30 a 34 años (015)",1518,3313,3221,91,97.2,2.7,
"De 35 a 39 años (016)",1401,4037,3886,64,96.3,1.6,
"De 40 a 44 años (017)",1215,4429,4252,27,96,0.6,
"De 45 a 49 años (018)",925,3866,3618,3,93.6,0.1,
"De 50 y más años (019)",1568,8449,7491,1,88.7,,
"Ocupada (020)",10855,27264,25587,422,93.8,1.5,
"De 12 a 14 años (021)",245,8,7,1,87.5,12.5,
"De 15 a 19 años (022)",1129,278,275,50,98.9,18,
"De 20 a 24 años (023)",1421,1131,1111,93,98.2,8.2,
"De 25 a 29 años (024)",1508,2055,2008,96,97.7,4.7,
"De 30 a 34 años (025)",1493,3271,3179,89,97.2,2.7,
"De 35 a 39 años (026)",1388,4000,3850,62,96.3,1.6,
"De 40 a 44 años (027)",1200,4344,4175,27,96.1,0.6,
"De 45 a 49 años (028)",918,3823,3577,3,93.6,0.1,
"De 50 y más años (029)",1553,8354,7405,1,88.6,,
"Desocupada (030)",267,389,365,11,93.8,2.8,
"De 12 a 14 años (031)",26,,,,,,
"De 15 a 19 años (032)",79,16,16,2,100,12.5,
"De 20 a 24 años (033)",54,31,29,2,93.5,6.5,
"De 25 a 29 años (034)",33,40,38,3,95,7.5,
