"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASUNCION (000)",2278,1781,149,217,131
"Sin nivel (001)",446,419,13,7,7
"Educación inicial (002)",6,5,1,,
"Primaria (003)",632,585,24,17,6
"Secundaria (004)",590,486,38,39,27
"Superior no univ. incompleta (005)",93,59,7,19,8
"Superior no univ. completa (006)",318,161,32,76,49
"Superior univ. incompleta (007)",61,21,8,14,18
"Superior univ. completa (008)",132,45,26,45,16
"De 06 a 14 años (010)",24,22,1,1,
"Sin nivel (011)",2,2,,,
"Educación inicial (012)",1,,1,,
"Primaria (013)",11,11,,,
"Secundaria (014)",10,9,,1,
"De 15 a 29 años (020)",646,489,46,57,54
"Sin nivel (021)",22,21,1,,
"Educación inicial (022)",2,2,,,
"Primaria (023)",121,107,5,6,3
"Secundaria (024)",337,272,23,22,20
"Superior no univ. incompleta (025)",50,31,4,11,4
"Superior no univ. completa (026)",72,43,4,11,14
"Superior univ. incompleta (027)",18,6,2,3,7
"Superior univ. completa (028)",24,7,7,4,6
"De 30 a 44 años (030)",846,585,71,126,64
"Sin nivel (031)",107,90,7,5,5
"Educación inicial (032)",3,3,,,
"Primaria (033)",215,194,10,8,3
"Secundaria (034)",178,151,12,9,6
"Superior no univ. incompleta (035)",34,20,2,8,4
"Superior no univ. completa (036)",187,85,21,54,27
"Superior univ. incompleta (037)",32,10,4,8,10
"Superior univ. completa (038)",90,32,15,34,9
"De 45 a 64 años (040)",555,483,30,32,10
"Sin nivel (041)",199,193,4,2,
"Primaria (043)",214,202,9,3,
"Secundaria (044)",52,42,3,6,1
"Superior no univ. incompleta (045)",8,7,1,,
"Superior no univ. completa (046)",54,29,7,11,7
"Superior univ. incompleta (047)",10,4,2,3,1
"Superior univ. completa (048)",18,6,4,7,1
"De 65 y más años (050)",207,202,1,1,3
"Sin nivel (051)",116,113,1,,2
"Primaria (053)",71,71,,,
"Secundaria (054)",13,12,,1,
"Superior no univ. incompleta (055)",1,1,,,
"Superior no univ. completa (056)",5,4,,,1
"Superior univ. incompleta (057)",1,1,,,
,,,,,
"URBANA (060)",821,492,72,156,101
"Sin nivel (061)",37,31,1,3,2
"Primaria (063)",124,110,6,6,2
"Secundaria (064)",206,146,20,23,17
