"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCAYO (000)",414076,89596,133048,90261,70900,30271
"Sin nivel (001)",18983,1020,925,2709,6298,8031
"Educación inicial (002)",5627,5367,159,101,,
"Primaria (003)",121156,62404,9184,15524,20954,13090
"Secundaria (004)",146205,20805,67817,31416,20944,5223
"Superior no univ. incompleta (005)",23470,,15796,5176,2169,329
"Superior no univ. completa (006)",26980,,10070,10948,4931,1031
"Superior univ. incompleta (007)",28535,,19251,5588,3295,401
"Superior univ. completa (008)",43120,,9846,18799,12309,2166
"PEA (010)",180744,2756,59948,64786,44766,8488
"Sin nivel (011)",5891,46,371,1211,2556,1707
"Educación inicial (012)",146,39,50,57,,
"Primaria (013)",30263,1510,4584,8748,11368,4053
"Secundaria (014)",66290,1161,27934,21924,13689,1582
"Superior no univ. incompleta (015)",12208,,6632,3848,1600,128
"Superior no univ. completa (016)",19206,,7065,8530,3395,216
"Superior univ. incompleta (017)",12960,,5935,4351,2507,167
"Superior univ. completa (018)",33780,,7377,16117,9651,635
"Ocupada (020)",172189,2665,55429,62309,43504,8282
"Sin nivel (021)",5735,41,339,1165,2505,1685
"Educación inicial (022)",137,37,47,53,,
"Primaria (023)",29135,1466,4289,8410,11014,3956
"Secundaria (024)",62707,1121,25806,21020,13228,1532
"Superior no univ. incompleta (025)",11661,,6249,3728,1558,126
"Superior no univ. completa (026)",18187,,6468,8179,3328,212
"Superior univ. incompleta (027)",12382,,5582,4199,2439,162
