"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CANCHIS (000)",33268,5806,3115,18257,524,5222,344
"Conviviente (001)",10161,1883,1164,5691,166,1217,40
"Separado(a) (002)",1238,234,92,774,22,83,33
"Casado(a) (003)",12887,2049,1009,7577,199,2017,36
"Viudo(a) (004)",2007,77,94,1616,38,169,13
"Divorciado(a) (005)",176,49,10,108,2,6,1
"Soltero(a) (006)",6799,1514,746,2491,97,1730,221
"Hombres (008)",19637,3332,2622,11364,370,1905,44
"Conviviente (009)",6337,1165,1006,3710,126,329,1
"Separado(a) (010)",287,54,35,178,6,13,1
"Casado(a) (011)",7992,1353,872,5181,154,428,4
"Viudo(a) (012)",691,24,50,553,12,52,
"Divorciado(a) (013)",79,15,6,55,1,2,
"Soltero(a) (014)",4251,721,653,1687,71,1081,38
"Mujeres (016)",13631,2474,493,6893,154,3317,300
"Conviviente (017)",3824,718,158,1981,40,888,39
"Separado(a) (018)",951,180,57,596,16,70,32
"Casado(a) (019)",4895,696,137,2396,45,1589,32
"Viudo(a) (020)",1316,53,44,1063,26,117,13
"Divorciado(a) (021)",97,34,4,53,1,4,1
"Soltero(a) (022)",2548,793,93,804,26,649,183
,,,,,,,
"URBANA (024)",20255,5284,1837,10606,369,1870,289
"Conviviente (025)",6674,1701,714,3607,136,485,31
"Separado(a) (026)",889,222,52,531,18,35,31
"Casado(a) (027)",7204,1888,547,4020,115,613,21
"Viudo(a) (028)",879,71,47,678,20,51,12
"Divorciado(a) (029)",134,48,8,73,2,2,1
"Soltero(a) (030)",4475,1354,469,1697,78,684,193
"Hombres (032)",11503,2966,1575,5998,257,673,34
"Conviviente (033)",4055,1036,623,2175,103,118,
"Separado(a) (034)",200,48,26,116,5,4,1
"Casado(a) (035)",4247,1213,479,2357,82,115,1
"Viudo(a) (036)",276,22,26,201,8,19,
"Divorciado(a) (037)",57,14,5,37,1,,
"Soltero(a) (038)",2668,633,416,1112,58,417,32
"Mujeres (040)",8752,2318,262,4608,112,1197,255
"Conviviente (041)",2619,665,91,1432,33,367,31
"Separado(a) (042)",689,174,26,415,13,31,30
"Casado(a) (043)",2957,675,68,1663,33,498,20
"Viudo(a) (044)",603,49,21,477,12,32,12
"Divorciado(a) (045)",77,34,3,36,1,2,1
"Soltero(a) (046)",1807,721,53,585,20,267,161
,,,,,,,
"RURAL (048)",13013,522,1278,7651,155,3352,55
"Conviviente (049)",3487,182,450,2084,30,732,9
"Separado(a) (050)",349,12,40,243,4,48,2
"Casado(a) (051)",5683,161,462,3557,84,1404,15
"Viudo(a) (052)",1128,6,47,938,18,118,1
"Divorciado(a) (053)",42,1,2,35,,4,
"Soltero(a) (054)",2324,160,277,794,19,1046,28
"Hombres (056)",8134,366,1047,5366,113,1232,10
"Conviviente (057)",2282,129,383,1535,23,211,1
"Separado(a) (058)",87,6,9,62,1,9,
"Casado(a) (059)",3745,140,393,2824,72,313,3
"Viudo(a) (060)",415,2,24,352,4,33,
"Divorciado(a) (061)",22,1,1,18,,2,
"Soltero(a) (062)",1583,88,237,575,13,664,6
"Mujeres (064)",4879,156,231,2285,42,2120,45
"Conviviente (065)",1205,53,67,549,7,521,8
"Separado(a) (066)",262,6,31,181,3,39,2
"Casado(a) (067)",1938,21,69,733,12,1091,12
"Viudo(a) (068)",713,4,23,586,14,85,1
"Divorciado(a) (069)",20,,1,17,,2,
"Soltero(a) (070)",741,72,40,219,6,382,22
