"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TALARA (000)",35679,269,11192,11672,4990,1813,798,204,34,,4707
"Conviviente (001)",9458,90,3924,3062,889,282,121,31,5,,1054
"Separado(a) (002)",2502,32,881,841,347,122,57,15,1,,206
"Casado(a) (003)",17542,106,5039,6333,3060,1100,450,109,18,,1327
"Viudo(a) (004)",2275,28,774,713,320,136,83,30,7,,184
"Divorciado(a) (005)",152,1,44,49,31,7,5,,,,15
"Soltero(a) (006)",3750,12,530,674,343,166,82,19,3,,1921
,,,,,,,,,,,
"URBANA (008)",35086,264,10966,11508,4902,1791,788,202,33,,4632
"Conviviente (009)",9261,88,3825,3006,873,281,121,31,4,,1032
"Separado(a) (010)",2472,31,870,835,341,118,56,15,1,,205
"Casado(a) (011)",17263,105,4941,6246,3006,1088,443,107,18,,1309
"Viudo(a) (012)",2245,27,763,706,314,134,83,30,7,,181
"Divorciado(a) (013)",147,1,43,47,31,5,5,,,,15
"Soltero(a) (014)",3698,12,524,668,337,165,80,19,3,,1890
,,,,,,,,,,,
"RURAL (016)",593,5,226,164,88,22,10,2,1,,75
"Conviviente (017)",197,2,99,56,16,1,,,1,,22
"Separado(a) (018)",30,1,11,6,6,4,1,,,,1
"Casado(a) (019)",279,1,98,87,54,12,7,2,,,18
"Viudo(a) (020)",30,1,11,7,6,2,,,,,3
"Divorciado(a) (021)",5,,1,2,,2,,,,,
"Soltero(a) (022)",52,,6,6,6,1,2,,,,31
