"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA CONVENCION (000)",41392,1076,18500,11566,3473,1186,487,145,24,,4935
"Catolica (001)",32133,810,14098,9215,2829,940,388,108,22,,3723
"Cristiana / Evangelica (002)",7800,228,3806,1966,549,208,77,35,1,,930
"Otra (003)",845,20,324,247,66,28,14,2,,,144
"Ninguna (004)",614,18,272,138,29,10,8,,1,,138
,,,,,,,,,,,
"URBANA (006)",13153,228,5071,3803,1454,501,226,73,11,,1786
"Catolica (007)",10766,193,4074,3142,1225,417,193,60,11,,1451
"Cristiana / Evangelica (008)",1852,27,826,495,174,65,24,13,,,228
"Otra (009)",363,6,114,105,43,13,8,,,,74
"Ninguna (010)",172,2,57,61,12,6,1,,,,33
,,,,,,,,,,,
"RURAL (012)",28239,848,13429,7763,2019,685,261,72,13,,3149
"Catolica (013)",21367,617,10024,6073,1604,523,195,48,11,,2272
"Cristiana / Evangelica (014)",5948,201,2980,1471,375,143,53,22,1,,702
"Otra (015)",482,14,210,142,23,15,6,2,,,70
"Ninguna (016)",442,16,215,77,17,4,7,,1,,105
