"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia TACNA",,,,,
"Viviendas particulares (001)",3213,756,228,302,1927
"Ocupantes presentes (002)",10504,2235,825,1083,6361
"Casa independiente",,,,,
"Viviendas particulares (004)",2722,664,187,261,1610
"Ocupantes presentes (005)",9160,1978,715,948,5519
"Departamento en edificio",,,,,
"Viviendas particulares (007)",56,14,9,4,29
"Ocupantes presentes (008)",168,53,21,10,84
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",16,4,3,2,7
"Ocupantes presentes (011)",48,13,6,10,19
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",13,1,,1,11
"Ocupantes presentes (014)",44,3,,4,37
"Choza o cabaña",,,,,
"Viviendas particulares (016)",5,5,,,
"Ocupantes presentes (017)",11,11,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",396,65,28,34,269
"Ocupantes presentes (020)",1064,174,79,111,700
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",4,2,1,,1
"Ocupantes presentes (023)",8,2,4,,2
"Otro tipo",,,,,
"Viviendas particulares (025)",1,1,,,
"Ocupantes presentes (026)",1,1,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",3133,710,217,294,1912
"Ocupantes presentes (029)",10268,2116,795,1049,6308
"Casa independiente",,,,,
"Viviendas particulares (031)",2648,623,176,253,1596
"Ocupantes presentes (032)",8937,1870,685,914,5468
"Departamento en edificio",,,,,
"Viviendas particulares (034)",56,14,9,4,29
"Ocupantes presentes (035)",168,53,21,10,84
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",16,4,3,2,7
"Ocupantes presentes (038)",48,13,6,10,19
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",13,1,,1,11
"Ocupantes presentes (041)",44,3,,4,37
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",396,65,28,34,269
"Ocupantes presentes (047)",1064,174,79,111,700
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",3,2,1,,
"Ocupantes presentes (050)",6,2,4,,
"Otro tipo",,,,,
"Viviendas particulares (052)",1,1,,,
"Ocupantes presentes (053)",1,1,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",80,46,11,8,15
"Ocupantes presentes (056)",236,119,30,34,53
"Casa independiente",,,,,
"Viviendas particulares (058)",74,41,11,8,14
"Ocupantes presentes (059)",223,108,30,34,51
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",5,5,,,
"Ocupantes presentes (071)",11,11,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (076)",1,,,,1
"Ocupantes presentes (077)",2,,,,2
"Otro tipo",,,,,
