"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MOYOBAMBA (000)",114445,2674,39547,32002,22009,13578,4635
"Casa independiente (001)",106081,2456,36637,29395,20391,12781,4421
"Departamento en edificio (002)",344,6,94,96,101,39,8
"Vivienda en quinta (003)",2731,54,740,1002,610,260,65
"Vivienda en casa de vecindad (004)",652,22,207,200,129,75,19
"Choza o cabaña (005)",4263,125,1733,1206,709,373,117
"Vivienda improvisada (006)",276,7,103,71,57,34,4
"Local no destinado para hab.humana (007)",80,3,25,26,10,16,
"Otro tipo (008)",18,1,8,6,2,,1
,,,,,,,
"URBANA (009)",67462,1320,21124,18498,14092,9094,3334
"Casa independiente (010)",63390,1230,19955,17107,13183,8678,3237
"Departamento en edificio (011)",344,6,94,96,101,39,8
"Vivienda en quinta (012)",2731,54,740,1002,610,260,65
"Vivienda en casa de vecindad (013)",652,22,207,200,129,75,19
"Vivienda improvisada (015)",276,7,103,71,57,34,4
"Local no destinado para hab.humana (016)",55,1,18,18,10,8,
"Otro tipo (017)",14,,7,4,2,,1
,,,,,,,
"RURAL (018)",46983,1354,18423,13504,7917,4484,1301
"Casa independiente (019)",42691,1226,16682,12288,7208,4103,1184
"Choza o cabaña (023)",4263,125,1733,1206,709,373,117
"Local no destinado para hab.humana (025)",25,2,7,8,,8,
"Otro tipo (026)",4,1,1,2,,,
