"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TARMA (000)",106217,3981,23706,21074,15972,14515,10693,7145,9131
"Quechua (001)",5657,45,352,392,477,694,849,908,1940
"Aymara (002)",24,1,4,,3,3,6,1,6
"Ashaninca (003)",9,1,3,2,2,1,,,
"Otra lengua nativa (004)",57,3,14,12,6,10,5,3,4
"Castellano (005)",100309,3926,23305,20643,15469,13785,9806,6217,7158
"Idioma extranjero (006)",11,,1,3,2,3,,,2
"Es sordomudo/a (007)",150,5,27,22,13,19,27,16,21
"Hombres (009)",52113,2038,11971,10470,7672,6927,5192,3454,4389
"Quechua (010)",2542,18,161,194,230,320,403,409,807
"Aymara (011)",12,,4,,1,2,4,,1
"Ashaninca (012)",4,1,,2,1,,,,
"Otra lengua nativa (013)",30,2,8,7,3,5,2,1,2
"Castellano (014)",49433,2012,11780,10252,7429,6590,4773,3031,3566
"Idioma extranjero (015)",7,,,3,2,1,,,1
"Es sordomudo/a (016)",85,5,18,12,6,9,10,13,12
"Mujeres (018)",54104,1943,11735,10604,8300,7588,5501,3691,4742
"Quechua (019)",3115,27,191,198,247,374,446,499,1133
"Aymara (020)",12,1,,,2,1,2,1,5
"Ashaninca (021)",5,,3,,1,1,,,
"Otra lengua nativa (022)",27,1,6,5,3,5,3,2,2
"Castellano (023)",50876,1914,11525,10391,8040,7195,5033,3186,3592
"Idioma extranjero (024)",4,,1,,,2,,,1
"Es sordomudo/a (025)",65,,9,10,7,10,17,3,9
,,,,,,,,,
"URBANA (027)",68807,2464,14836,13561,10661,9807,7066,4589,5823
"Quechua (028)",2795,8,54,105,206,319,431,514,1158
"Aymara (029)",19,1,4,,3,2,5,,4
"Ashaninca (030)",9,1,3,2,2,1,,,
"Otra lengua nativa (031)",52,3,14,11,4,9,5,3,3
"Castellano (032)",65854,2448,14746,13426,10438,9466,6614,4067,4649
"Idioma extranjero (033)",11,,1,3,2,3,,,2
"Es sordomudo/a (034)",67,3,14,14,6,7,11,5,7
"Hombres (036)",33381,1266,7538,6613,5012,4592,3411,2160,2789
"Quechua (037)",1234,2,25,55,99,156,209,219,469
"Aymara (038)",11,,4,,1,1,4,,1
"Ashaninca (039)",4,1,,2,1,,,,
"Otra lengua nativa (040)",28,2,8,6,3,5,2,1,1
"Castellano (041)",32058,1258,7491,6539,4902,4425,3193,1936,2314
"Idioma extranjero (042)",7,,,3,2,1,,,1
"Es sordomudo/a (043)",39,3,10,8,4,4,3,4,3
"Mujeres (045)",35426,1198,7298,6948,5649,5215,3655,2429,3034
"Quechua (046)",1561,6,29,50,107,163,222,295,689
"Aymara (047)",8,1,,,2,1,1,,3
"Ashaninca (048)",5,,3,,1,1,,,
"Otra lengua nativa (049)",24,1,6,5,1,4,3,2,2
"Castellano (050)",33796,1190,7255,6887,5536,5041,3421,2131,2335
"Idioma extranjero (051)",4,,1,,,2,,,1
"Es sordomudo/a (052)",28,,4,6,2,3,8,1,4
,,,,,,,,,
"RURAL (054)",37410,1517,8870,7513,5311,4708,3627,2556,3308
"Quechua (055)",2862,37,298,287,271,375,418,394,782
"Aymara (056)",5,,,,,1,1,1,2
"Otra lengua nativa (058)",5,,,1,2,1,,,1
"Castellano (059)",34455,1478,8559,7217,5031,4319,3192,2150,2509
"Es sordomudo/a (061)",83,2,13,8,7,12,16,11,14
"Hombres (063)",18732,772,4433,3857,2660,2335,1781,1294,1600
"Quechua (064)",1308,16,136,139,131,164,194,190,338
"Aymara (065)",1,,,,,1,,,
"Otra lengua nativa (067)",2,,,1,,,,,1
"Castellano (068)",17375,754,4289,3713,2527,2165,1580,1095,1252
"Es sordomudo/a (070)",46,2,8,4,2,5,7,9,9
"Mujeres (072)",18678,745,4437,3656,2651,2373,1846,1262,1708
"Quechua (073)",1554,21,162,148,140,211,224,204,444
"Aymara (074)",4,,,,,,1,1,2
"Otra lengua nativa (076)",3,,,,2,1,,,
"Castellano (077)",17080,724,4270,3504,2504,2154,1612,1055,1257
"Es sordomudo/a (079)",37,,5,4,5,7,9,2,5
