"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANGARAES (000)",13251,113,5504,3993,1000,301,113,50,9,,2168
"Catolica (001)",10314,92,4186,3135,812,244,90,37,8,,1710
"Cristiana / Evangelica (002)",2691,18,1202,792,172,55,22,13,1,,416
"Otra (003)",58,2,22,14,8,1,1,,,,10
"Ninguna (004)",188,1,94,52,8,1,,,,,32
,,,,,,,,,,,
"URBANA (006)",4110,40,1502,1206,391,135,43,28,5,,760
"Catolica (007)",3338,33,1192,986,330,113,37,23,5,,619
"Cristiana / Evangelica (008)",682,7,280,197,51,21,6,5,,,115
"Otra (009)",20,,2,7,5,1,,,,,5
"Ninguna (010)",70,,28,16,5,,,,,,21
,,,,,,,,,,,
"RURAL (012)",9141,73,4002,2787,609,166,70,22,4,,1408
"Catolica (013)",6976,59,2994,2149,482,131,53,14,3,,1091
"Cristiana / Evangelica (014)",2009,11,922,595,121,34,16,8,1,,301
"Otra (015)",38,2,20,7,3,,1,,,,5
"Ninguna (016)",118,1,66,36,3,1,,,,,11
