"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LORETO (000)",56058,24355,5703,2058,24129
"Quechua (001)",548,335,29,15,171
"Aymara (002)",9,5,2,2,2
"Asháninka (003)",8,3,1,1,4
"Otra lengua nativa (004)",4618,1907,112,426,2175
"Castellano (005)",50795,22073,5555,1613,21734
"Idioma Extranjero (006)",1,,,1,
"Es Sordomudo/a (007)",79,32,4,,43
"Hombres (009)",30140,11665,3515,1398,13669
"Quechua (010)",303,157,26,10,111
"Aymara (011)",3,1,1,,1
"Asháninka (012)",3,1,,,2
"Otra lengua nativa (013)",2341,924,69,233,1117
"Castellano (014)",27449,10566,3417,1154,12416
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",40,16,2,,22
"Mujeres (018)",25918,12690,2188,660,10460
"Quechua (019)",245,178,3,5,60
"Aymara (020)",6,4,1,2,1
"Asháninka (021)",5,2,1,1,2
"Otra lengua nativa (022)",2277,983,43,193,1058
"Castellano (023)",23346,11507,2138,459,9318
"Es Sordomudo/a (025)",39,16,2,,21
,,,,,
"URBANA (027)",24085,8533,4384,916,10342
"Quechua (028)",163,54,19,7,85
"Aymara (029)",6,3,2,2,1
"Asháninka (030)",3,1,1,1,1
"Otra lengua nativa (031)",234,80,41,5,109
"Castellano (032)",23651,8386,4318,900,10131
"Idioma Extranjero (033)",1,,,1,
"Es Sordomudo/a (034)",27,9,3,,15
"Hombres (036)",13077,4032,2747,657,5702
"Quechua (037)",109,31,17,5,57
"Aymara (038)",3,1,1,,1
"Otra lengua nativa (040)",139,47,23,5,65
"Castellano (041)",12814,3950,2705,646,5572
"Idioma Extranjero (042)",1,,,1,
"Es Sordomudo/a (043)",11,3,1,,7
"Mujeres (045)",11008,4501,1637,259,4640
"Quechua (046)",54,23,2,2,28
"Aymara (047)",3,2,1,2,
"Asháninka (048)",3,1,1,1,1
"Otra lengua nativa (049)",95,33,18,,44
"Castellano (050)",10837,4436,1613,254,4559
"Es Sordomudo/a (052)",16,6,2,,8
,,,,,
"RURAL (054)",31973,15822,1319,1142,13787
"Quechua (055)",385,281,10,8,86
"Aymara (056)",3,2,,,1
"Asháninka (057)",5,2,,,3
"Otra lengua nativa (058)",4384,1827,71,421,2066
"Castellano (059)",27144,13687,1237,713,11603
"Es Sordomudo/a (061)",52,23,1,,28
"Hombres (063)",17063,7633,768,741,7967
"Quechua (064)",194,126,9,5,54
"Asháninka (066)",3,1,,,2
"Otra lengua nativa (067)",2202,877,46,228,1052
"Castellano (068)",14635,6616,712,508,6844
"Es Sordomudo/a (070)",29,13,1,,15
"Mujeres (072)",14910,8189,551,401,5820
"Quechua (073)",191,155,1,3,32
"Aymara (074)",3,2,,,1
"Asháninka (075)",2,1,,,1
"Otra lengua nativa (076)",2182,950,25,193,1014
"Castellano (077)",12509,7071,525,205,4759
"Es Sordomudo/a (079)",23,10,,,13
