"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CONDESUYOS (000)",17146,315,5075,4016,3392,2792,1556
"Jefe o Jefa (001)",5484,,17,925,1836,1725,981
"Esposa(o) / compañera(o) (002)",2741,,9,642,1015,757,318
"Hijo(a) / hijastro(a) (003)",6582,239,4189,1765,281,103,5
"Yerno / nuera (004)",163,,1,106,38,16,2
"Nieto(a) (005)",684,64,510,103,7,,
"Padres / suegros (006)",239,,,,2,53,184
"Otro(a) pariente (007)",912,10,305,312,129,101,55
"Trabajador(a) del hogar (008)",17,,4,8,5,,
"Pensionistas (009)",8,,1,3,3,1,
"Otro(a) no pariente (010)",316,2,39,152,76,36,11
"Hombres (011)",8829,159,2554,2117,1818,1488,693
"Jefe o Jefa (012)",3944,,8,673,1399,1264,600
"Esposa(o) / compañera(o) (013)",217,,3,54,74,63,23
"Hijo(a) / hijastro(a) (014)",3435,122,2105,978,178,52,
"Yerno / nuera (015)",65,,1,35,19,8,2
"Nieto(a) (016)",345,31,251,60,3,,
"Padres / suegros (017)",60,,,,2,20,38
"Otro(a) pariente (018)",553,5,164,216,92,53,23
"Trabajador(a) del hogar (019)",6,,3,2,1,,
"Pensionistas (020)",7,,1,3,2,1,
"Otro(a) no pariente (021)",197,1,18,96,48,27,7
"Mujeres (022)",8317,156,2521,1899,1574,1304,863
"Jefe o Jefa (023)",1540,,9,252,437,461,381
"Esposa(o) / compañera(o) (024)",2524,,6,588,941,694,295
"Hijo(a) / hijastro(a) (025)",3147,117,2084,787,103,51,5
"Yerno / nuera (026)",98,,,71,19,8,
"Nieto(a) (027)",339,33,259,43,4,,
"Padres / suegros (028)",179,,,,,33,146
"Otro(a) pariente (029)",359,5,141,96,37,48,32
"Trabajador(a) del hogar (030)",11,,1,6,4,,
"Pensionistas (031)",1,,,,1,,
"Otro(a) no pariente (032)",119,1,21,56,28,9,4
,,,,,,,
"URBANA (033)",7555,122,2217,1819,1564,1259,574
"Jefe o Jefa (034)",2445,,13,422,863,804,343
"Esposa(o) / compañera(o) (035)",1162,,9,251,469,321,112
"Hijo(a) / hijastro(a) (036)",2909,90,1813,843,116,46,1
"Yerno / nuera (037)",66,,,36,21,8,1
"Nieto(a) (038)",265,28,194,37,6,,
"Padres / suegros (039)",126,,,,2,31,93
"Otro(a) pariente (040)",420,3,160,150,51,36,20
"Trabajador(a) del hogar (041)",10,,3,7,,,
"Pensionistas (042)",3,,1,,1,1,
"Otro(a) no pariente (043)",149,1,24,73,35,12,4
"Hombres (044)",3837,67,1126,936,778,697,233
"Jefe o Jefa (045)",1689,,6,286,608,591,198
"Esposa(o) / compañera(o) (046)",114,,3,28,36,36,11
"Hijo(a) / hijastro(a) (047)",1512,49,911,460,70,22,
"Yerno / nuera (048)",27,,,12,9,5,1
"Nieto(a) (049)",140,15,102,21,2,,
"Padres / suegros (050)",33,,,,2,15,16
"Otro(a) pariente (051)",236,2,93,87,30,19,5
"Trabajador(a) del hogar (052)",4,,2,2,,,
"Pensionistas (053)",3,,1,,1,1,
"Otro(a) no pariente (054)",79,1,8,40,20,8,2
"Mujeres (055)",3718,55,1091,883,786,562,341
"Jefe o Jefa (056)",756,,7,136,255,213,145
"Esposa(o) / compañera(o) (057)",1048,,6,223,433,285,101
"Hijo(a) / hijastro(a) (058)",1397,41,902,383,46,24,1
"Yerno / nuera (059)",39,,,24,12,3,
"Nieto(a) (060)",125,13,92,16,4,,
"Padres / suegros (061)",93,,,,,16,77
"Otro(a) pariente (062)",184,1,67,63,21,17,15
"Trabajador(a) del hogar (063)",6,,1,5,,,
"Otro(a) no pariente (065)",70,,16,33,15,4,2
,,,,,,,
"RURAL (066)",9591,193,2858,2197,1828,1533,982
"Jefe o Jefa (067)",3039,,4,503,973,921,638
"Esposa(o) / compañera(o) (068)",1579,,,391,546,436,206
"Hijo(a) / hijastro(a) (069)",3673,149,2376,922,165,57,4
"Yerno / nuera (070)",97,,1,70,17,8,1
"Nieto(a) (071)",419,36,316,66,1,,
"Padres / suegros (072)",113,,,,,22,91
"Otro(a) pariente (073)",492,7,145,162,78,65,35
"Trabajador(a) del hogar (074)",7,,1,1,5,,
"Pensionistas (075)",5,,,3,2,,
"Otro(a) no pariente (076)",167,1,15,79,41,24,7
"Hombres (077)",4992,92,1428,1181,1040,791,460
"Jefe o Jefa (078)",2255,,2,387,791,673,402
"Esposa(o) / compañera(o) (079)",103,,,26,38,27,12
"Hijo(a) / hijastro(a) (080)",1923,73,1194,518,108,30,
"Yerno / nuera (081)",38,,1,23,10,3,1
"Nieto(a) (082)",205,16,149,39,1,,
"Padres / suegros (083)",27,,,,,5,22
"Otro(a) pariente (084)",317,3,71,129,62,34,18
"Trabajador(a) del hogar (085)",2,,1,,1,,
"Pensionistas (086)",4,,,3,1,,
"Otro(a) no pariente (087)",118,,10,56,28,19,5
"Mujeres (088)",4599,101,1430,1016,788,742,522
"Jefe o Jefa (089)",784,,2,116,182,248,236
"Esposa(o) / compañera(o) (090)",1476,,,365,508,409,194
"Hijo(a) / hijastro(a) (091)",1750,76,1182,404,57,27,4
"Yerno / nuera (092)",59,,,47,7,5,
"Nieto(a) (093)",214,20,167,27,,,
"Padres / suegros (094)",86,,,,,17,69
"Otro(a) pariente (095)",175,4,74,33,16,31,17
"Trabajador(a) del hogar (096)",5,,,1,4,,
"Pensionistas (097)",1,,,,1,,
"Otro(a) no pariente (098)",49,1,5,23,13,5,2
