"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CORONGO",,,,,,,
"Viviendas particulares (001)",1904,200,68,61,1330,76,169
"Ocupantes presentes (002)",8310,750,352,245,5939,310,714
"Casa independiente",,,,,,,
"Viviendas particulares (004)",1890,198,67,61,1323,75,166
"Ocupantes presentes (005)",8237,732,347,245,5904,309,700
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",6,1,,,2,,3
"Ocupantes presentes (014)",26,3,,,9,,14
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",6,,1,,5,,
"Ocupantes presentes (017)",31,,5,,26,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",2,1,,,,1,
"Ocupantes presentes (023)",16,15,,,,1,
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1015,173,19,15,636,46,126
"Ocupantes presentes (029)",4094,640,118,66,2593,162,515
"Casa independiente",,,,,,,
"Viviendas particulares (031)",1008,172,19,15,634,45,123
"Ocupantes presentes (032)",4067,637,118,66,2584,161,501
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",6,1,,,2,,3
"Ocupantes presentes (041)",26,3,,,9,,14
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",1,,,,,1,
"Ocupantes presentes (050)",1,,,,,1,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",889,27,49,46,694,30,43
"Ocupantes presentes (056)",4216,110,234,179,3346,148,199
"Casa independiente",,,,,,,
"Viviendas particulares (058)",882,26,48,46,689,30,43
"Ocupantes presentes (059)",4170,95,229,179,3320,148,199
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",6,,1,,5,,
"Ocupantes presentes (071)",31,,5,,26,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,1,,,,,
"Ocupantes presentes (077)",15,15,,,,,
"Otro tipo",,,,,,,
