"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CONTUMAZA (000)",13165,10504,2661
"De 3 a 5 años (001)",1939,97,1842
"De 6 a 11 años (002)",3809,3246,563
"De 12 a 16 años (003)",3421,3355,66
"De 17 a 24 años (004)",3996,3806,190
"Hombres (005)",6773,5451,1322
"De 3 a 5 años (006)",971,39,932
"De 6 a 11 años (007)",1972,1678,294
"De 12 a 16 años (008)",1788,1759,29
"De 17 a 24 años (009)",2042,1975,67
"Mujeres (010)",6392,5053,1339
"De 3 a 5 años (011)",968,58,910
"De 6 a 11 años (012)",1837,1568,269
"De 12 a 16 años (013)",1633,1596,37
"De 17 a 24 años (014)",1954,1831,123
,,,
"URBANA (015)",5256,4482,774
"De 3 a 5 años (016)",684,54,630
"De 6 a 11 años (017)",1409,1305,104
"De 12 a 16 años (018)",1485,1475,10
"De 17 a 24 años (019)",1678,1648,30
"Hombres (020)",2703,2308,395
"De 3 a 5 años (021)",345,25,320
"De 6 a 11 años (022)",735,683,52
"De 12 a 16 años (023)",768,761,7
"De 17 a 24 años (024)",855,839,16
"Mujeres (025)",2553,2174,379
"De 3 a 5 años (026)",339,29,310
"De 6 a 11 años (027)",674,622,52
"De 12 a 16 años (028)",717,714,3
"De 17 a 24 años (029)",823,809,14
,,,
"RURAL (030)",7909,6022,1887
"De 3 a 5 años (031)",1255,43,1212
"De 6 a 11 años (032)",2400,1941,459
"De 12 a 16 años (033)",1936,1880,56
"De 17 a 24 años (034)",2318,2158,160
"Hombres (035)",4070,3143,927
"De 3 a 5 años (036)",626,14,612
"De 6 a 11 años (037)",1237,995,242
"De 12 a 16 años (038)",1020,998,22
"De 17 a 24 años (039)",1187,1136,51
"Mujeres (040)",3839,2879,960
"De 3 a 5 años (041)",629,29,600
"De 6 a 11 años (042)",1163,946,217
"De 12 a 16 años (043)",916,882,34
"De 17 a 24 años (044)",1131,1022,109
