"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCAVELICA (000)",133203,40357,16985,3015,73098
"Quechua (001)",73340,24152,4287,776,44184
"Aymara (002)",117,42,19,10,55
"Asháninka (003)",28,17,4,8,7
"Otra lengua nativa (004)",13,3,,1,9
"Castellano (005)",59544,16093,12664,2218,28744
"Idioma Extranjero (006)",4,,,2,2
"Es Sordomudo/a (007)",157,50,11,,97
"Hombres (009)",64819,19541,8566,1821,35041
"Quechua (010)",34730,11551,2227,496,20494
"Aymara (011)",58,19,11,6,27
"Asháninka (012)",18,9,3,5,6
"Otra lengua nativa (013)",8,1,,1,6
"Castellano (014)",29918,7931,6317,1312,14459
"Idioma Extranjero (015)",2,,,1,1
"Es Sordomudo/a (016)",85,30,8,,48
"Mujeres (018)",68384,20816,8419,1194,38057
"Quechua (019)",38610,12601,2060,280,23690
"Aymara (020)",59,23,8,4,28
"Asháninka (021)",10,8,1,3,1
"Otra lengua nativa (022)",5,2,,,3
"Castellano (023)",29626,8162,6347,906,14285
"Idioma Extranjero (024)",2,,,1,1
"Es Sordomudo/a (025)",72,20,3,,49
,,,,,
"URBANA (027)",56588,8920,14787,2568,30481
"Quechua (028)",14218,1740,3017,456,9029
"Aymara (029)",58,10,12,4,34
"Asháninka (030)",13,5,4,3,4
"Otra lengua nativa (031)",4,,,1,3
"Castellano (032)",42245,7155,11747,2102,21380
"Idioma Extranjero (033)",4,,,2,2
"Es Sordomudo/a (034)",46,10,7,,29
"Hombres (036)",27474,4326,7317,1549,14387
"Quechua (037)",6346,795,1511,295,3764
"Aymara (038)",29,3,8,3,16
"Asháninka (039)",10,4,3,3,3
"Otra lengua nativa (040)",4,,,1,3
"Castellano (041)",21059,3517,5791,1246,10587
"Idioma Extranjero (042)",2,,,1,1
"Es Sordomudo/a (043)",24,7,4,,13
"Mujeres (045)",29114,4594,7470,1019,16094
"Quechua (046)",7872,945,1506,161,5265
"Aymara (047)",29,7,4,1,18
"Asháninka (048)",3,1,1,,1
"Castellano (050)",21186,3638,5956,856,10793
"Idioma Extranjero (051)",2,,,1,1
"Es Sordomudo/a (052)",22,3,3,,16
,,,,,
"RURAL (054)",76615,31437,2198,447,42617
"Quechua (055)",59122,22412,1270,320,35155
"Aymara (056)",59,32,7,6,21
"Asháninka (057)",15,12,,5,3
"Otra lengua nativa (058)",9,3,,,6
"Castellano (059)",17299,8938,917,116,7364
"Es Sordomudo/a (061)",111,40,4,,68
"Hombres (063)",37345,15215,1249,272,20654
"Quechua (064)",28384,10756,716,201,16730
"Aymara (065)",29,16,3,3,11
"Asháninka (066)",8,5,,2,3
"Otra lengua nativa (067)",4,1,,,3
"Castellano (068)",8859,4414,526,66,3872
"Es Sordomudo/a (070)",61,23,4,,35
"Mujeres (072)",39270,16222,949,175,21963
"Quechua (073)",30738,11656,554,119,18425
"Aymara (074)",30,16,4,3,10
"Asháninka (075)",7,7,,3,
"Otra lengua nativa (076)",5,2,,,3
"Castellano (077)",8440,4524,391,50,3492
"Es Sordomudo/a (079)",50,17,,,33
