"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TACNA (000)",7670,41,3844,2418,1204,163
"Conviviente (001)",2194,2,946,916,301,29
"Separado(a) (002)",371,,91,168,99,13
"Casado(a) (003)",1552,1,198,689,587,77
"Viudo(a) (004)",117,,7,16,62,32
"Divorciado(a) (005)",48,,8,16,20,4
"Soltero(a) (006)",3388,38,2594,613,135,8
"Hombres (008)",4645,22,2162,1474,862,125
"Conviviente (009)",1338,,476,605,230,27
"Separado(a) (010)",158,,26,60,63,9
"Casado(a) (011)",998,,91,412,432,63
"Viudo(a) (012)",63,,1,7,35,20
"Divorciado(a) (013)",30,,7,10,11,2
"Soltero(a) (014)",2058,22,1561,380,91,4
"Mujeres (016)",3025,19,1682,944,342,38
"Conviviente (017)",856,2,470,311,71,2
"Separado(a) (018)",213,,65,108,36,4
"Casado(a) (019)",554,1,107,277,155,14
"Viudo(a) (020)",54,,6,9,27,12
"Divorciado(a) (021)",18,,1,6,9,2
"Soltero(a) (022)",1330,16,1033,233,44,4
,,,,,,
"AREA URBANA (024)",7236,37,3642,2294,1115,148
"Conviviente (025)",2062,2,892,865,276,27
"Separado(a) (026)",350,,85,160,92,13
"Casado(a) (027)",1451,1,185,653,545,67
"Viudo(a) (028)",108,,7,15,56,30
"Divorciado(a) (029)",47,,8,16,19,4
"Soltero(a) (030)",3218,34,2465,585,127,7
"Hombres (032)",4339,20,2034,1380,792,113
"Conviviente (033)",1233,,442,559,207,25
"Separado(a) (034)",149,,25,58,57,9
"Casado(a) (035)",925,,81,388,401,55
"Viudo(a) (036)",60,,1,6,34,19
"Divorciado(a) (037)",29,,7,10,10,2
"Soltero(a) (038)",1943,20,1478,359,83,3
"Mujeres (040)",2897,17,1608,914,323,35
"Conviviente (041)",829,2,450,306,69,2
"Separado(a) (042)",201,,60,102,35,4
"Casado(a) (043)",526,1,104,265,144,12
"Viudo(a) (044)",48,,6,9,22,11
"Divorciado(a) (045)",18,,1,6,9,2
"Soltero(a) (046)",1275,14,987,226,44,4
,,,,,,
"AREA RURAL (048)",434,4,202,124,89,15
"Conviviente (049)",132,,54,51,25,2
"Separado(a) (050)",21,,6,8,7,
"Casado(a) (051)",101,,13,36,42,10
"Viudo(a) (052)",9,,,1,6,2
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",170,4,129,28,8,1
"Hombres (056)",306,2,128,94,70,12
"Conviviente (057)",105,,34,46,23,2
"Separado(a) (058)",9,,1,2,6,
"Casado(a) (059)",73,,10,24,31,8
"Viudo(a) (060)",3,,,1,1,1
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",115,2,83,21,8,1
"Mujeres (064)",128,2,74,30,19,3
"Conviviente (065)",27,,20,5,2,
"Separado(a) (066)",12,,5,6,1,
"Casado(a) (067)",28,,3,12,11,2
"Viudo(a) (068)",6,,,,5,1
"Soltero(a) (070)",55,2,46,7,,
