"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TRUJILLO (000)",228477,2112,62856,70535,36533,15733,6385,1756,255,,32312
"Sin Nivel (001)",19343,463,7459,5664,2010,870,490,246,28,,2113
"Educación Inicial (002)",236,5,71,70,19,4,1,,,,66
"Primaria (003)",52423,839,20652,16368,5756,2371,1260,466,58,,4653
"Secundaria (004)",66441,530,22551,22297,8369,3034,1293,321,45,,8001
"Sup. no Univ. Incompleta (005)",14491,62,3108,5338,2318,830,259,70,9,,2497
"Sup. no Univ. Completa (006)",30026,99,3999,9296,7392,3184,1171,249,28,,4608
"Sup. Univ. Incompleta (007)",11525,41,1947,3457,1848,661,215,49,3,,3304
"Sup. Univ. Completa (008)",33992,73,3069,8045,8821,4779,1696,355,84,,7070
,,,,,,,,,,,
"URBANA (010)",223374,2005,60810,69001,36022,15549,6303,1741,251,,31692
"Sin Nivel (011)",18341,430,7024,5366,1930,835,470,239,28,,2019
"Educación Inicial (012)",231,5,70,70,18,4,1,,,,63
"Primaria (013)",50310,783,19661,15778,5588,2307,1225,461,57,,4450
"Secundaria (014)",65060,512,22010,21839,8233,2997,1280,318,44,,7827
"Sup. no Univ. Incompleta (015)",14334,62,3084,5274,2298,824,256,70,9,,2457
"Sup. no Univ. Completa (016)",29765,99,3965,9215,7326,3160,1165,249,27,,4559
"Sup. Univ. Incompleta (017)",11471,41,1941,3443,1842,661,214,49,2,,3278
"Sup. Univ. Completa (018)",33862,73,3055,8016,8787,4761,1692,355,84,,7039
,,,,,,,,,,,
"RURAL (020)",5103,107,2046,1534,511,184,82,15,4,,620
"Sin Nivel (021)",1002,33,435,298,80,35,20,7,,,94
"Educación Inicial (022)",5,,1,,1,,,,,,3
"Primaria (023)",2113,56,991,590,168,64,35,5,1,,203
"Secundaria (024)",1381,18,541,458,136,37,13,3,1,,174
"Sup. no Univ. Incompleta (025)",157,,24,64,20,6,3,,,,40
"Sup. no Univ. Completa (026)",261,,34,81,66,24,6,,1,,49
"Sup. Univ. Incompleta (027)",54,,6,14,6,,1,,1,,26
"Sup. Univ. Completa (028)",130,,14,29,34,18,4,,,,31
