"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AZANGARO (000)",51974,145238,126131,,2438,86.8,1.7
"De 12 a 14 años (001)",5420,16,15,,1,93.8,6.3
"De 15 a 19 años (002)",7118,717,669,256,93.3,35.7,
"De 20 a 24 años (003)",5840,3972,3779,649,95.1,16.3,
"De 25 a 29 años (004)",4917,7956,7510,578,94.4,7.3,
"De 30 a 34 años (005)",4231,11103,10375,428,93.4,3.9,
"De 35 a 39 años (006)",4197,14888,13742,344,92.3,2.3,
"De 40 a 44 años (007)",3626,15705,14276,154,90.9,1,
"De 45 a 49 años (008)",3232,16524,14791,28,89.5,0.2,
"De 50 y más años (009)",13393,74357,60974,,82,,
"PEA (010)",16942,54126,47484,818,87.7,1.5,
"De 12 a 14 años (011)",208,5,4,,80,,
"De 15 a 19 años (012)",1328,212,191,63,90.1,29.7,
"De 20 a 24 años (013)",2200,1416,1348,206,95.2,14.5,
"De 25 a 29 años (014)",2058,3077,2903,205,94.3,6.7,
"De 30 a 34 años (015)",1800,4548,4268,148,93.8,3.3,
"De 35 a 39 años (016)",1878,6328,5855,129,92.5,2,
"De 40 a 44 años (017)",1641,6811,6173,60,90.6,0.9,
"De 45 a 49 años (018)",1405,7053,6298,7,89.3,0.1,
"De 50 y más años (019)",4424,24676,20444,,82.8,,
"Ocupada (020)",15794,52980,46455,779,87.7,1.5,
"De 12 a 14 años (021)",185,5,4,,80,,
"De 15 a 19 años (022)",1104,199,178,62,89.4,31.2,
"De 20 a 24 años (023)",1836,1315,1253,189,95.3,14.4,
"De 25 a 29 años (024)",1818,2902,2746,192,94.6,6.6,
"De 30 a 34 años (025)",1704,4411,4139,143,93.8,3.2,
"De 35 a 39 años (026)",1801,6150,5689,126,92.5,2,
"De 40 a 44 años (027)",1599,6659,6037,60,90.7,0.9,
"De 45 a 49 años (028)",1380,6950,6199,7,89.2,0.1,
"De 50 y más años (029)",4367,24389,20210,,82.9,,
"Desocupada (030)",1148,1146,1029,39,89.8,3.4,
"De 12 a 14 años (031)",23,,,,,,
"De 15 a 19 años (032)",224,13,13,1,100,7.7,
"De 20 a 24 años (033)",364,101,95,17,94.1,16.8,
"De 25 a 29 años (034)",240,175,157,13,89.7,7.4,
"De 30 a 34 años (035)",96,137,129,5,94.2,3.6,
