"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AYABACA (000)",127144,29572,3332,69122,19149,1575,2524,604,1266
"Jefe o Jefa (001)",30035,6865,11,17778,3286,414,977,166,538
"Esposa(o)/ compa¤era(o) (002)",21571,6087,17,12166,2102,275,584,58,282
"Hijo(a)/ hijastro(a) (003)",59682,12044,2702,31656,11462,657,638,292,231
"Yerno/ nuera (004)",1463,137,4,769,420,31,63,6,33
"Nieto(a) (005)",6266,1896,411,3117,753,30,27,24,8
"Padres/ suegros (006)",1334,844,,475,10,,2,,3
"Otro(a) pariente (007)",5828,1534,179,2815,927,115,127,42,89
"Trabajador(a) del hogar (008)",134,19,2,80,23,7,2,,1
"Pensionista (009)",85,1,,10,19,8,27,2,18
"Otro(a) no pariente (010)",746,145,6,256,147,38,77,14,63
"Hombres (012)",64907,12636,1667,36543,10972,838,1236,340,675
"Jefe o Jefa (013)",23599,4294,8,14929,2790,320,705,132,421
"Esposa(o)/ compa¤era(o) (014)",1190,242,,681,179,29,35,4,20
"Hijo(a)/ hijastro(a) (015)",32253,6041,1338,17160,6756,362,324,153,119
"Yerno/ nuera (016)",464,38,,214,139,17,27,4,25
"Nieto(a) (017)",3382,973,216,1688,458,16,17,13,1
"Padres/ suegros (018)",379,189,,183,6,,1,,
"Otro(a) pariente (019)",3167,778,103,1534,548,67,69,23,45
"Trabajador(a) del hogar (020)",13,2,,9,1,,,,1
"Pensionista (021)",51,,,7,11,5,20,1,7
"Otro(a) no pariente (022)",409,79,2,138,84,22,38,10,36
"Mujeres (024)",62237,16936,1665,32579,8177,737,1288,264,591
"Jefe o Jefa (025)",6436,2571,3,2849,496,94,272,34,117
"Esposa(o)/ compa¤era(o) (026)",20381,5845,17,11485,1923,246,549,54,262
"Hijo(a)/ hijastro(a) (027)",27429,6003,1364,14496,4706,295,314,139,112
"Yerno/ nuera (028)",999,99,4,555,281,14,36,2,8
"Nieto(a) (029)",2884,923,195,1429,295,14,10,11,7
"Padres/ suegros (030)",955,655,,292,4,,1,,3
"Otro(a) pariente (031)",2661,756,76,1281,379,48,58,19,44
"Trabajador(a) del hogar (032)",121,17,2,71,22,7,2,,
"Pensionista (033)",34,1,,3,8,3,7,1,11
"Otro(a) no pariente (034)",337,66,4,118,63,16,39,4,27
,,,,,,,,,
"URBANA (036)",14229,1570,428,4605,3702,916,1662,414,932
"Jefe o Jefa (037)",3765,316,,1123,851,285,681,121,388
"Esposa(o)/ compa¤era(o) (038)",2358,232,1,740,491,190,441,44,219
"Hijo(a)/ hijastro(a) (039)",5653,583,327,1942,1788,299,356,190,168
"Yerno/ nuera (040)",171,7,,34,54,16,31,5,24
"Nieto(a) (041)",624,137,73,235,125,14,18,16,6
"Padres/ suegros (042)",177,108,,62,2,,2,,3
"Otro(a) pariente (043)",1038,145,22,327,278,75,85,29,77
"Trabajador(a) del hogar (044)",96,10,1,58,19,5,2,,1
"Pensionista (045)",35,,,4,10,2,10,,9
