"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia NAZCA (000)",913,175,738
"De 14 a 29 años (001)",486,135,351
"De 30 a 44 años (002)",254,32,222
"De 45 a 64 años (003)",138,8,130
"De 65 y más años (004)",35,,35
"Hombres (005)",584,95,489
"De 14 a 29 años (006)",308,77,231
"De 30 a 44 años (007)",147,13,134
"De 45 a 64 años (008)",103,5,98
"De 65 y más años (009)",26,,26
"Mujeres (010)",329,80,249
"De 14 a 29 años (011)",178,58,120
"De 30 a 44 años (012)",107,19,88
"De 45 a 64 años (013)",35,3,32
"De 65 y más años (014)",9,,9
,,,
"AREA URBANA (015)",791,155,636
"De 14 a 29 años (016)",418,118,300
"De 30 a 44 años (017)",227,29,198
"De 45 a 64 años (018)",123,8,115
"De 65 y más años (019)",23,,23
"Hombres (020)",489,83,406
"De 14 a 29 años (021)",258,67,191
"De 30 a 44 años (022)",127,11,116
"De 45 a 64 años (023)",88,5,83
"De 65 y más años (024)",16,,16
"Mujeres (025)",302,72,230
"De 14 a 29 años (026)",160,51,109
"De 30 a 44 años (027)",100,18,82
"De 45 a 64 años (028)",35,3,32
"De 65 y más años (029)",7,,7
,,,
"AREA RURAL (030)",122,20,102
"De 14 a 29 años (031)",68,17,51
"De 30 a 44 años (032)",27,3,24
"De 45 a 64 años (033)",15,,15
"De 65 y más años (034)",12,,12
"Hombres (035)",95,12,83
"De 14 a 29 años (036)",50,10,40
"De 30 a 44 años (037)",20,2,18
"De 45 a 64 años (038)",15,,15
"De 65 y más años (039)",10,,10
"Mujeres (040)",27,8,19
"De 14 a 29 años (041)",18,7,11
"De 30 a 44 años (042)",7,1,6
"De 65 y más años (044)",2,,2
