"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia EL COLLAO (000)",2286,2110,176
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",29,29,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",46,46,
"Cárcel, centro de readaptación social (005)",66,,66
"Otro (008)",547,437,110
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",1596,1596,
