"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VILCAS HUAMAN (000)",23600,10866,1503,232,11010
"Menos de 1 año (001)",363,310,16,2,35
"De 1 a 14 años (002)",8018,6582,402,68,971
"De 15 a 29 años (003)",4905,1709,196,39,2963
"De 30 a 44 años (004)",4021,889,389,51,2693
"De 45 a 64 años (005)",3504,798,370,47,2291
"De 65 y mas años (006)",2789,578,130,25,2057
"Hombres (008)",11504,5157,809,124,5420
"Menos de 1 año (009)",190,163,12,1,14
"De 1 a 14 años (010)",4034,3333,206,26,472
"De 15 a 29 años (011)",2495,782,87,22,1604
"De 30 a 44 años (012)",2006,341,201,27,1438
"De 45 a 64 años (013)",1572,307,216,29,1021
"De 65 y mas años (014)",1207,231,87,19,871
"Mujeres (016)",12096,5709,694,108,5590
"Menos de 1 año (017)",173,147,4,1,21
"De 1 a 14 años (018)",3984,3249,196,42,499
"De 15 a 29 años (019)",2410,927,109,17,1359
"De 30 a 44 años (020)",2015,548,188,24,1255
"De 45 a 64 años (021)",1932,491,154,18,1270
"De 65 y mas años (022)",1582,347,43,6,1186
,,,,,
"URBANA (024)",7480,2360,1038,170,3913
"Menos de 1 año (025)",94,67,9,1,17
"De 1 a 14 años (026)",2302,1445,278,59,521
"De 15 a 29 años (027)",1651,410,145,32,1064
"De 30 a 44 años (028)",1459,198,286,37,938
"De 45 a 64 años (029)",1110,129,241,25,715
"De 65 y mas años (030)",864,111,79,16,658
"Hombres (032)",3663,1128,563,86,1886
"Menos de 1 año (033)",44,33,6,,5
"De 1 a 14 años (034)",1130,723,146,21,240
"De 15 a 29 años (035)",831,194,65,19,553
"De 30 a 44 años (036)",738,76,147,18,497
"De 45 a 64 años (037)",544,57,148,16,323
"De 65 y mas años (038)",376,45,51,12,268
"Mujeres (040)",3817,1232,475,84,2027
"Menos de 1 año (041)",50,34,3,1,12
"De 1 a 14 años (042)",1172,722,132,38,281
"De 15 a 29 años (043)",820,216,80,13,511
"De 30 a 44 años (044)",721,122,139,19,441
"De 45 a 64 años (045)",566,72,93,9,392
"De 65 y mas años (046)",488,66,28,4,390
,,,,,
"RURAL (048)",16120,8506,465,62,7097
"Menos de 1 año (049)",269,243,7,1,18
"De 1 a 14 años (050)",5716,5137,124,9,450
"De 15 a 29 años (051)",3254,1299,51,7,1899
"De 30 a 44 años (052)",2562,691,103,14,1755
"De 45 a 64 años (053)",2394,669,129,22,1576
"De 65 y mas años (054)",1925,467,51,9,1399
"Hombres (056)",7841,4029,246,38,3534
"Menos de 1 año (057)",146,130,6,1,9
"De 1 a 14 años (058)",2904,2610,60,5,232
"De 15 a 29 años (059)",1664,588,22,3,1051
"De 30 a 44 años (060)",1268,265,54,9,941
"De 45 a 64 años (061)",1028,250,68,13,698
"De 65 y mas años (062)",831,186,36,7,603
"Mujeres (064)",8279,4477,219,24,3563
"Menos de 1 año (065)",123,113,1,,9
"De 1 a 14 años (066)",2812,2527,64,4,218
"De 15 a 29 años (067)",1590,711,29,4,848
"De 30 a 44 años (068)",1294,426,49,5,814
"De 45 a 64 años (069)",1366,419,61,9,878
"De 65 y mas años (070)",1094,281,15,2,796
