"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAMBOPATA (000)",34005,990,45,5641,13673,2983,3409,3051,4213
"Empleado (001)",9726,78,5,531,2667,1027,1758,1168,2492
"Obrero (002)",7157,182,8,1320,3803,554,434,485,371
"Trabajador independiente (003)",13666,567,20,2935,5745,1131,1012,1135,1121
"Empleador o patrono (004)",1086,32,,186,436,87,111,93,141
"Trabajador familiar no remunerado (005)",1689,103,9,526,692,99,66,127,67
"Trabajador del hogar (006)",681,28,3,143,330,85,28,43,21
"Hombres (008)",22485,433,19,3476,9730,1955,2081,2071,2720
"Empleado (009)",5192,19,3,201,1401,551,908,668,1441
"Obrero (010)",6374,119,6,1088,3472,502,395,449,343
"Trabajador independiente (011)",9278,253,8,1842,4093,782,676,837,787
"Empleador o patrono (012)",791,14,,122,348,64,75,56,112
"Trabajador familiar no remunerado (013)",768,22,2,209,375,46,25,58,31
"Trabajador del hogar (014)",82,6,,14,41,10,2,3,6
"Mujeres (016)",11520,557,26,2165,3943,1028,1328,980,1493
"Empleado (017)",4534,59,2,330,1266,476,850,500,1051
"Obrero (018)",783,63,2,232,331,52,39,36,28
"Trabajador independiente (019)",4388,314,12,1093,1652,349,336,298,334
"Empleador o patrono (020)",295,18,,64,88,23,36,37,29
"Trabajador familiar no remunerado (021)",921,81,7,317,317,53,41,69,36
"Trabajador del hogar (022)",599,22,3,129,289,75,26,40,15
,,,,,,,,,
"URBANA (024)",27624,554,34,3936,10945,2591,2967,2753,3844
"Empleado (025)",9014,63,3,453,2451,954,1619,1113,2358
"Obrero (026)",5082,105,5,882,2687,442,301,390,270
"Trabajador independiente (027)",10969,317,17,2046,4706,967,887,1018,1011
"Empleador o patrono (028)",846,26,,120,324,76,88,86,126
"Trabajador familiar no remunerado (029)",1150,33,7,331,490,79,46,106,58
"Trabajador del hogar (030)",563,10,2,104,287,73,26,40,21
"Hombres (032)",17458,186,14,2177,7474,1643,1727,1820,2417
"Empleado (033)",4795,15,3,173,1309,501,814,629,1351
"Obrero (034)",4457,67,4,695,2426,393,267,360,245
"Trabajador independiente (035)",7092,90,6,1106,3229,652,578,735,696
"Empleador o patrono (036)",579,9,,71,242,56,54,50,97
"Trabajador familiar no remunerado (037)",477,5,1,122,236,36,12,43,22
"Trabajador del hogar (038)",58,,,10,32,5,2,3,6
"Mujeres (040)",10166,368,20,1759,3471,948,1240,933,1427
"Empleado (041)",4219,48,,280,1142,453,805,484,1007
"Obrero (042)",625,38,1,187,261,49,34,30,25
"Trabajador independiente (043)",3877,227,11,940,1477,315,309,283,315
"Empleador o patrono (044)",267,17,,49,82,20,34,36,29
"Trabajador familiar no remunerado (045)",673,28,6,209,254,43,34,63,36
"Trabajador del hogar (046)",505,10,2,94,255,68,24,37,15
,,,,,,,,,
"RURAL (048)",6381,436,11,1705,2728,392,442,298,369
"Empleado (049)",712,15,2,78,216,73,139,55,134
"Obrero (050)",2075,77,3,438,1116,112,133,95,101
"Trabajador independiente (051)",2697,250,3,889,1039,164,125,117,110
"Empleador o patrono (052)",240,6,,66,112,11,23,7,15
"Trabajador familiar no remunerado (053)",539,70,2,195,202,20,20,21,9
"Trabajador del hogar (054)",118,18,1,39,43,12,2,3,
"Hombres (056)",5027,247,5,1299,2256,312,354,251,303
"Empleado (057)",397,4,,28,92,50,94,39,90
"Obrero (058)",1917,52,2,393,1046,109,128,89,98
"Trabajador independiente (059)",2186,163,2,736,864,130,98,102,91
"Empleador o patrono (060)",212,5,,51,106,8,21,6,15
"Trabajador familiar no remunerado (061)",291,17,1,87,139,10,13,15,9
"Trabajador del hogar (062)",24,6,,4,9,5,,,
"Mujeres (064)",1354,189,6,406,472,80,88,47,66
"Empleado (065)",315,11,2,50,124,23,45,16,44
"Obrero (066)",158,25,1,45,70,3,5,6,3
"Trabajador independiente (067)",511,87,1,153,175,34,27,15,19
"Empleador o patrono (068)",28,1,,15,6,3,2,1,
"Trabajador familiar no remunerado (069)",248,53,1,108,63,10,7,6,
"Trabajador del hogar (070)",94,12,1,35,34,7,2,3,
