"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DATEM DEL MARAÑON (000)",15850,13246,1889,346,369
"Agric., ganadería, caza y silvicultura (001)",12289,10950,1255,72,12
"Pesca (002)",216,188,28,,
"Explotación de minas y canteras (003)",107,44,16,1,46
"Industrias manufactureras (004)",234,185,29,19,1
"Suministro de electricidad, gas y agua (005)",1,,,1,
"Construcción (006)",160,106,34,15,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",656,589,56,6,5
"Venta, mant.y rep. veh.autom y motoc. (008)",52,46,4,,2
"Comercio al por mayor (009)",37,30,4,,3
"Comercio al por menor (010)",567,513,48,6,
"Hoteles y restaurantes (011)",216,184,18,5,9
"Trans., almac. y comunicaciones (012)",164,119,16,11,18
"Intermediación financiera (013)",4,3,,1,
"Activid.inmobil., empres. y alquileres (014)",65,34,15,13,3
"Admin.pub. y defensa; p. segur soc.afil (015)",163,,,,163
"Enseñanza (016)",742,280,327,129,6
"Servicios sociales y de salud (017)",128,41,11,6,70
"Otras activ. serv.comun.soc y personales (018)",86,60,15,7,4
"Hogares privados con servicio doméstico (019)",199,199,,,
"Actividad economica no especificada (021)",420,264,69,60,27
"Hombres (022)",9754,7935,1271,247,301
"Agric., ganadería, caza y silvicultura (023)",7329,6495,787,38,9
"Pesca (024)",211,184,27,,
"Explotación de minas y canteras (025)",97,36,16,1,44
"Industrias manufactureras (026)",201,156,25,19,1
"Suministro de electricidad, gas y agua (027)",1,,,1,
"Construcción (028)",159,105,34,15,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",393,347,38,3,5
"Venta, mant.y rep. veh.autom y motoc. (030)",48,43,3,,2
"Comercio al por mayor (031)",27,21,3,,3
"Comercio al por menor (032)",318,283,32,3,
"Hoteles y restaurantes (033)",57,39,7,3,8
"Trans., almac. y comunicaciones (034)",157,117,12,10,18
"Intermediación financiera (035)",2,1,,1,
"Activid.inmobil., empres. y alquileres (036)",58,29,14,12,3
"Admin.pub. y defensa; p. segur soc.afil (037)",137,,,,137
"Enseñanza (038)",525,185,245,90,5
"Servicios sociales y de salud (039)",78,24,7,1,46
"Otras activ. serv.comun.soc y personales (040)",50,33,11,5,1
"Hogares privados con servicio doméstico (041)",20,20,,,
"Actividad economica no especificada (043)",279,164,48,48,19
