"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SECHURA (000)",19445,14292,2477,1057,1619
"Hombres (001)",14164,10479,2162,769,754
"Mujeres (002)",5281,3813,315,288,865
"De 06 a 14 años (003)",528,423,65,14,26
"Hombres (004)",362,295,59,4,4
"Mujeres (005)",166,128,6,10,22
"De 15 a 29 años (006)",7906,5584,1167,436,719
"Hombres (007)",5654,4086,1004,317,247
"Mujeres (008)",2252,1498,163,119,472
"De 30 a 44 años (009)",6169,4384,802,409,574
"Hombres (010)",4428,3153,705,284,286
"Mujeres (011)",1741,1231,97,125,288
"De 45 a 64 años (012)",4001,3118,404,191,288
"Hombres (013)",3023,2305,356,157,205
"Mujeres (014)",978,813,48,34,83
"De 65 y más años (015)",841,783,39,7,12
"Hombres (016)",697,640,38,7,12
"Mujeres (017)",144,143,1,,
,,,,,
"URBANA (018)",18044,12992,2412,1042,1598
"Hombres (019)",13012,9408,2101,761,742
"Mujeres (020)",5032,3584,311,281,856
"De 06 a 14 años (021)",474,374,61,13,26
"Hombres (022)",322,259,55,4,4
"Mujeres (023)",152,115,6,9,22
"De 15 a 29 años (024)",7309,5040,1135,427,707
"Hombres (025)",5163,3635,974,313,241
"Mujeres (026)",2146,1405,161,114,466
"De 30 a 44 años (027)",5813,4056,786,404,567
"Hombres (028)",4135,2885,689,280,281
"Mujeres (029)",1678,1171,97,124,286
"De 45 a 64 años (030)",3694,2826,391,191,286
"Hombres (031)",2772,2066,345,157,204
"Mujeres (032)",922,760,46,34,82
"De 65 y más años (033)",754,696,39,7,12
"Hombres (034)",620,563,38,7,12
"Mujeres (035)",134,133,1,,
,,,,,
"RURAL (036)",1401,1300,65,15,21
"Hombres (037)",1152,1071,61,8,12
"Mujeres (038)",249,229,4,7,9
"De 06 a 14 años (039)",54,49,4,1,
"Hombres (040)",40,36,4,,
"Mujeres (041)",14,13,,1,
"De 15 a 29 años (042)",597,544,32,9,12
"Hombres (043)",491,451,30,4,6
"Mujeres (044)",106,93,2,5,6
"De 30 a 44 años (045)",356,328,16,5,7
"Hombres (046)",293,268,16,4,5
"Mujeres (047)",63,60,,1,2
"De 45 a 64 años (048)",307,292,13,,2
"Hombres (049)",251,239,11,,1
"Mujeres (050)",56,53,2,,1
"De 65 y más años (051)",87,87,,,
"Hombres (052)",77,77,,,
"Mujeres (053)",10,10,,,
