"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ASCOPE (000)",45774,43599,12660,7326,7149,5077,5608,3011,2768,2175
"Católica (001)",32126,30520,9222,5358,5111,3546,3776,1892,1615,1606
"Cristiana/Evangélica (002)",9652,9287,2162,1278,1440,1140,1411,896,960,365
"Otra (003)",1939,1847,537,265,278,222,263,149,133,92
"Ninguna (004)",2057,1945,739,425,320,169,158,74,60,112
,,,,,,,,,,
"URBANA (006)",40589,38619,11146,6647,6466,4529,4906,2589,2336,1970
"Católica (007)",28583,27126,8131,4870,4644,3180,3308,1634,1359,1457
"Cristiana/Evangélica (008)",8660,8327,1927,1180,1315,1025,1258,788,834,333
"Otra (009)",1652,1566,461,239,242,190,219,117,98,86
"Ninguna (010)",1694,1600,627,358,265,134,121,50,45,94
,,,,,,,,,,
"RURAL (012)",5185,4980,1514,679,683,548,702,422,432,205
"Católica (013)",3543,3394,1091,488,467,366,468,258,256,149
"Cristiana/Evangélica (014)",992,960,235,98,125,115,153,108,126,32
"Otra (015)",287,281,76,26,36,32,44,32,35,6
"Ninguna (016)",363,345,112,67,55,35,37,24,15,18
