"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAURICOCHA (000)",7915,7559,25,1156,1181,1121,1726,1299,750,301,356,32381
"De 12 a 14 años (001)",10,3,,2,1,,,,,,7,4
"De 15 a 19 años (002)",224,206,3,169,27,5,2,,,,18,246
"De 20 a 24 años (003)",798,685,4,353,238,69,20,1,,,113,1126
"De 25 a 29 años (004)",985,887,1,242,280,219,134,9,2,,98,2098
"De 30 a 34 años (005)",972,932,2,109,224,259,241,88,9,,40,3002
"De 35 a 39 años (006)",941,912,1,69,112,202,310,170,38,10,29,3772
"De 40 a 44 años (007)",824,816,3,36,57,101,273,199,112,35,8,4251
"De 45 a 49 años (008)",735,720,,31,58,54,196,203,132,46,15,4101
"De 50 y más años (009)",2426,2398,11,145,184,212,550,629,457,210,28,13781
"PEA (010)",1940,1817,8,314,317,266,419,266,170,57,123,7329
"De 12 a 14 años (011)",2,,,,,,,,,,2,
"De 15 a 19 años (012)",36,33,,24,6,2,1,,,,3,46
"De 20 a 24 años (013)",189,154,,91,42,15,6,,,,35,245
"De 25 a 29 años (014)",260,222,,73,71,49,24,3,2,,38,496
"De 30 a 34 años (015)",266,247,1,47,73,52,58,15,1,,19,698
"De 35 a 39 años (016)",266,254,1,29,44,54,90,26,6,4,12,932
"De 40 a 44 años (017)",199,196,1,10,22,31,61,46,18,7,3,933
"De 45 a 49 años (018)",189,184,,6,15,19,59,45,36,4,5,990
"De 50 y más años (019)",533,527,5,34,44,44,120,131,107,42,6,2989
"Ocupada (020)",1898,1792,8,306,312,262,415,265,167,57,106,7249
"De 12 a 14 años (021)",2,,,,,,,,,,2,
"De 15 a 19 años (022)",35,32,,23,6,2,1,,,,3,45
