"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUERTO INCA (000)",10588,9497,553,180,358
"Hombres (001)",8586,7756,446,137,247
"Mujeres (002)",2002,1741,107,43,111
"De 06 a 14 años (003)",445,429,13,3,
"Hombres (004)",303,290,10,3,
"Mujeres (005)",142,139,3,,
"De 15 a 29 años (006)",4029,3638,217,64,110
"Hombres (007)",3302,3001,180,46,75
"Mujeres (008)",727,637,37,18,35
"De 30 a 44 años (009)",3484,3016,207,79,182
"Hombres (010)",2782,2443,161,59,119
"Mujeres (011)",702,573,46,20,63
"De 45 a 64 años (012)",2184,1990,98,30,66
"Hombres (013)",1815,1657,79,26,53
"Mujeres (014)",369,333,19,4,13
"De 65 y más años (015)",446,424,18,4,
"Hombres (016)",384,365,16,3,
"Mujeres (017)",62,59,2,1,
,,,,,
"URBANA (018)",2135,1594,174,122,245
"Hombres (019)",1526,1113,142,92,179
"Mujeres (020)",609,481,32,30,66
"De 06 a 14 años (021)",33,29,3,1,
"Hombres (022)",16,13,2,1,
"Mujeres (023)",17,16,1,,
"De 15 a 29 años (024)",706,536,63,39,68
"Hombres (025)",505,375,54,26,50
"Mujeres (026)",201,161,9,13,18
"De 30 a 44 años (027)",814,562,72,56,124
"Hombres (028)",567,382,57,43,85
"Mujeres (029)",247,180,15,13,39
"De 45 a 64 años (030)",488,382,29,24,53
"Hombres (031)",355,268,22,21,44
"Mujeres (032)",133,114,7,3,9
"De 65 y más años (033)",94,85,7,2,
"Hombres (034)",83,75,7,1,
"Mujeres (035)",11,10,,1,
,,,,,
"RURAL (036)",8453,7903,379,58,113
"Hombres (037)",7060,6643,304,45,68
"Mujeres (038)",1393,1260,75,13,45
"De 06 a 14 años (039)",412,400,10,2,
"Hombres (040)",287,277,8,2,
"Mujeres (041)",125,123,2,,
"De 15 a 29 años (042)",3323,3102,154,25,42
"Hombres (043)",2797,2626,126,20,25
"Mujeres (044)",526,476,28,5,17
"De 30 a 44 años (045)",2670,2454,135,23,58
"Hombres (046)",2215,2061,104,16,34
"Mujeres (047)",455,393,31,7,24
"De 45 a 64 años (048)",1696,1608,69,6,13
"Hombres (049)",1460,1389,57,5,9
"Mujeres (050)",236,219,12,1,4
"De 65 y más años (051)",352,339,11,2,
"Hombres (052)",301,290,9,2,
"Mujeres (053)",51,49,2,,
