"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CASTROVIRREYNA (000)",5978,2214,3764
"Red pública dentro de la vivienda (001)",748,646,102
"Red pública fuera de la vivienda (002)",183,161,22
"Pilón de uso público (003)",363,159,204
"Pozo (005)",51,10,41
"Río, acequia, manatial o similar (006)",4384,1150,3234
"Vecino (007)",174,61,113
"Otro (008)",75,27,48
,,,
"URBANA (010)",1888,1359,529
"Red pública dentro de la vivienda (011)",621,542,79
"Red pública fuera de la vivienda (012)",162,149,13
"Pilón de uso público (013)",12,8,4
"Pozo (015)",8,7,1
"Río, acequia, manatial o similar (016)",938,585,353
"Vecino (017)",121,51,70
"Otro (018)",26,17,9
,,,
"RURAL (020)",4090,855,3235
"Red pública dentro de la vivienda (021)",127,104,23
"Red pública fuera de la vivienda (022)",21,12,9
"Pilón de uso público (023)",351,151,200
"Pozo (025)",43,3,40
"Río, acequia, manatial o similar (026)",3446,565,2881
"Vecino (027)",53,10,43
"Otro (028)",49,10,39
