"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",7719,7484,2231,777,742,647,1139,857,611,480,235,25308
"De 12 a 14 años (001)",902,893,892,1,,,,,,,9,1
"De 15 a 19 años (002)",1109,1081,929,129,19,3,1,,,,28,180
"De 20 a 24 años (003)",754,680,202,276,147,42,13,,,,74,750
"De 25 a 29 años (004)",704,653,67,159,185,146,81,15,,,51,1407
"De 30 a 34 años (005)",663,644,31,86,151,125,183,58,10,,19,2025
"De 35 a 39 años (006)",562,555,7,25,71,89,199,119,36,9,7,2471
"De 40 a 44 años (007)",519,513,12,17,37,71,151,117,70,38,6,2732
"De 45 a 49 años (008)",453,449,14,6,26,37,101,123,69,73,4,2810
"De 50 y más años (009)",2053,2016,77,78,106,134,410,425,426,360,37,12932
"PEA (010)",1406,1328,236,208,208,154,226,159,74,63,78,4414
"De 12 a 14 años (011)",9,8,8,,,,,,,,1,
"De 15 a 19 años (012)",106,104,90,10,4,,,,,,2,18
"De 20 a 24 años (013)",169,144,62,53,21,7,1,,,,25,120
"De 25 a 29 años (014)",206,172,38,54,40,23,12,5,,,34,286
"De 30 a 34 años (015)",193,185,18,46,56,31,26,8,,,8,417
"De 35 a 39 años (016)",167,165,6,15,34,27,54,23,4,2,2,599
"De 40 a 44 años (017)",146,143,2,8,20,28,44,24,13,4,3,634
"De 45 a 49 años (018)",104,104,3,2,15,12,25,25,13,9,,543
"De 50 y más años (019)",306,303,9,20,18,26,64,74,44,48,3,1797
"Ocupada (020)",1357,1284,216,200,205,147,224,157,74,61,73,4338
"De 12 a 14 años (021)",8,7,7,,,,,,,,1,
"De 15 a 19 años (022)",96,94,81,9,4,,,,,,2,17
