"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BOLIVAR (000)",13877,4288,3672,2800,2152,965
"Sin nivel (001)",1943,233,247,474,558,431
"Educación inicial (002)",293,280,12,1,,
"Primaria (003)",7881,3328,1629,1363,1117,444
"Secundaria (004)",2644,447,1448,463,240,46
"Superior no univ. incompleta (005)",220,,131,60,26,3
"Superior no univ. completa (006)",485,,131,248,89,17
"Superior univ. incompleta (007)",92,,27,46,18,1
"Superior univ. completa (008)",319,,47,145,104,23
"PEA (010)",4382,141,1366,1456,1096,323
"Sin nivel (011)",492,8,85,149,165,85
"Educación inicial (012)",7,1,5,1,,
"Primaria (013)",2257,109,688,649,603,208
"Secundaria (014)",869,23,409,274,147,16
"Superior no univ. incompleta (015)",88,,38,35,13,2
"Superior no univ. completa (016)",363,,88,199,72,4
"Superior univ. incompleta (017)",58,,11,33,13,1
"Superior univ. completa (018)",248,,42,116,83,7
"Ocupada (020)",4256,134,1304,1426,1074,318
"Sin nivel (021)",477,6,80,144,162,85
"Educación inicial (022)",7,1,5,1,,
"Primaria (023)",2205,105,667,639,590,204
"Secundaria (024)",830,22,382,267,144,15
"Superior no univ. incompleta (025)",83,,35,33,13,2
"Superior no univ. completa (026)",351,,83,194,70,4
"Superior univ. incompleta (027)",56,,11,32,12,1
"Superior univ. completa (028)",247,,41,116,83,7
"Desocupada (030)",126,7,62,30,22,5
"Sin nivel (031)",15,2,5,5,3,
"Primaria (033)",52,4,21,10,13,4
