"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCAVELICA (000)",44741,8319,4037,22211,260,9475,439
"Conviviente (001)",9144,2334,1166,4182,54,1355,53
"Separado(a) (002)",1602,368,132,870,16,163,53
"Casado(a) (003)",21727,3222,1685,12588,112,4074,46
"Viudo(a) (004)",2391,130,112,1950,14,166,19
"Divorciado(a) (005)",240,50,27,135,3,20,5
"Soltero(a) (006)",9637,2215,915,2486,61,3697,263
"Hombres (008)",27442,4786,3590,15759,171,3109,27
"Conviviente (009)",5998,1386,1070,3113,41,383,5
"Separado(a) (010)",362,90,71,171,5,24,1
"Casado(a) (011)",14611,2145,1544,10252,87,580,3
"Viudo(a) (012)",829,38,74,652,2,63,
"Divorciado(a) (013)",105,24,19,49,3,9,1
"Soltero(a) (014)",5537,1103,812,1522,33,2050,17
"Mujeres (016)",17299,3533,447,6452,89,6366,412
"Conviviente (017)",3146,948,96,1069,13,972,48
"Separado(a) (018)",1240,278,61,699,11,139,52
"Casado(a) (019)",7116,1077,141,2336,25,3494,43
"Viudo(a) (020)",1562,92,38,1298,12,103,19
"Divorciado(a) (021)",135,26,8,86,,11,4
"Soltero(a) (022)",4100,1112,103,964,28,1647,246
,,,,,,,
"URBANA (024)",18402,7568,2471,6830,174,1018,341
"Conviviente (025)",5139,2196,819,1831,33,210,50
"Separado(a) (026)",929,353,87,402,11,28,48
"Casado(a) (027)",7121,2874,909,2808,80,407,43
"Viudo(a) (028)",686,121,70,450,6,22,17
"Divorciado(a) (029)",132,45,18,57,3,5,4
"Soltero(a) (030)",4395,1979,568,1282,41,346,179
"Hombres (032)",11013,4273,2171,4052,117,382,18
"Conviviente (033)",3315,1297,744,1175,27,68,4
"Separado(a) (034)",221,84,46,82,5,4,
"Casado(a) (035)",4679,1865,820,1830,62,100,2
"Viudo(a) (036)",203,33,46,119,,5,
"Divorciado(a) (037)",59,22,13,17,3,4,
"Soltero(a) (038)",2536,972,502,829,20,201,12
"Mujeres (040)",7389,3295,300,2778,57,636,323
"Conviviente (041)",1824,899,75,656,6,142,46
"Separado(a) (042)",708,269,41,320,6,24,48
"Casado(a) (043)",2442,1009,89,978,18,307,41
"Viudo(a) (044)",483,88,24,331,6,17,17
"Divorciado(a) (045)",73,23,5,40,,1,4
"Soltero(a) (046)",1859,1007,66,453,21,145,167
,,,,,,,
"RURAL (048)",26339,751,1566,15381,86,8457,98
"Conviviente (049)",4005,138,347,2351,21,1145,3
"Separado(a) (050)",673,15,45,468,5,135,5
"Casado(a) (051)",14606,348,776,9780,32,3667,3
"Viudo(a) (052)",1705,9,42,1500,8,144,2
"Divorciado(a) (053)",108,5,9,78,,15,1
"Soltero(a) (054)",5242,236,347,1204,20,3351,84
"Hombres (056)",16429,513,1419,11707,54,2727,9
"Conviviente (057)",2683,89,326,1938,14,315,1
"Separado(a) (058)",141,6,25,89,,20,1
"Casado(a) (059)",9932,280,724,8422,25,480,1
"Viudo(a) (060)",626,5,28,533,2,58,
"Divorciado(a) (061)",46,2,6,32,,5,1
"Soltero(a) (062)",3001,131,310,693,13,1849,5
"Mujeres (064)",9910,238,147,3674,32,5730,89
"Conviviente (065)",1322,49,21,413,7,830,2
"Separado(a) (066)",532,9,20,379,5,115,4
"Casado(a) (067)",4674,68,52,1358,7,3187,2
"Viudo(a) (068)",1079,4,14,967,6,86,2
"Divorciado(a) (069)",62,3,3,46,,10,
"Soltero(a) (070)",2241,105,37,511,7,1502,79
