"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia AZANGARO",,,,,,,,,
"Viviendas particulares (001)",8810,886,512,624,3388,254,100,75,2971
"Ocupantes presentes (002)",32875,3137,1895,2299,12712,927,391,307,11207
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8222,840,491,593,3111,243,95,69,2780
"Ocupantes presentes (005)",30836,2949,1826,2197,11866,878,373,289,10458
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",5,,,,2,1,,,2
"Ocupantes presentes (008)",18,,,,8,6,,,4
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",24,,2,2,5,1,1,,13
"Ocupantes presentes (011)",100,,8,4,21,10,5,,52
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",424,17,14,26,262,9,1,5,90
"Ocupantes presentes (014)",1355,69,46,85,789,33,4,13,316
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",124,27,4,3,3,,1,1,85
"Ocupantes presentes (017)",540,117,13,13,12,,4,5,376
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,1,,,,
"Ocupantes presentes (020)",4,,,,4,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",10,2,1,,4,,2,,1
"Ocupantes presentes (023)",22,2,2,,12,,5,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",7641,641,380,538,3284,250,98,72,2378
"Ocupantes presentes (029)",28518,2198,1381,2010,12324,913,383,287,9022
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",7177,622,363,510,3010,239,94,67,2272
"Ocupantes presentes (032)",27019,2127,1325,1921,11490,864,369,274,8649
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",5,,,,2,1,,,2
"Ocupantes presentes (035)",18,,,,8,6,,,4
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",24,,2,2,5,1,1,,13
"Ocupantes presentes (038)",100,,8,4,21,10,5,,52
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",424,17,14,26,262,9,1,5,90
"Ocupantes presentes (041)",1355,69,46,85,789,33,4,13,316
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,1,,,,
"Ocupantes presentes (047)",4,,,,4,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",10,2,1,,4,,2,,1
"Ocupantes presentes (050)",22,2,2,,12,,5,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1169,245,132,86,104,4,2,3,593
"Ocupantes presentes (056)",4357,939,514,289,388,14,8,20,2185
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1045,218,128,83,101,4,1,2,508
"Ocupantes presentes (059)",3817,822,501,276,376,14,4,15,1809
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",124,27,4,3,3,,1,1,85
"Ocupantes presentes (071)",540,117,13,13,12,,4,5,376
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
