"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",7409,118,3222,2186,709,220,130,67,5,,752
"Catolica (001)",6472,99,2833,1917,616,185,115,57,5,,645
"Cristiana / Evangelica (002)",825,15,343,248,82,24,14,9,,,90
"Otra (003)",76,3,31,15,8,7,1,1,,,10
"Ninguna (004)",36,1,15,6,3,4,,,,,7
,,,,,,,,,,,
"URBANA (006)",5436,81,2273,1591,520,181,104,55,4,,627
"Catolica (007)",4844,75,2030,1427,464,157,92,46,4,,549
"Cristiana / Evangelica (008)",531,5,212,158,51,18,11,9,,,67
"Otra (009)",35,,18,4,4,3,1,,,,5
"Ninguna (010)",26,1,13,2,1,3,,,,,6
,,,,,,,,,,,
"RURAL (012)",1973,37,949,595,189,39,26,12,1,,125
"Catolica (013)",1628,24,803,490,152,28,23,11,1,,96
"Cristiana / Evangelica (014)",294,10,131,90,31,6,3,,,,23
"Otra (015)",41,3,13,11,4,4,,1,,,5
"Ninguna (016)",10,,2,4,2,1,,,,,1
