"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",13590,172,5066,4672,1636,581,252,80,11,,1120
"Catolica (001)",11001,127,3944,3802,1401,503,218,68,10,,928
"Cristiana / Evangelica (002)",1514,17,645,526,142,50,19,7,1,,107
"Otra (003)",830,21,384,265,69,22,13,4,,,52
"Ninguna (004)",245,7,93,79,24,6,2,1,,,33
,,,,,,,,,,,
"URBANA (006)",9558,92,3140,3335,1316,483,219,66,10,,897
"Catolica (007)",8109,73,2592,2834,1151,432,192,57,9,,769
"Cristiana / Evangelica (008)",867,8,330,303,101,34,16,4,1,,70
"Otra (009)",452,9,175,156,46,14,10,4,,,38
"Ninguna (010)",130,2,43,42,18,3,1,1,,,20
,,,,,,,,,,,
"RURAL (012)",4032,80,1926,1337,320,98,33,14,1,,223
"Catolica (013)",2892,54,1352,968,250,71,26,11,1,,159
"Cristiana / Evangelica (014)",647,9,315,223,41,16,3,3,,,37
"Otra (015)",378,12,209,109,23,8,3,,,,14
"Ninguna (016)",115,5,50,37,6,3,1,,,,13
