"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MANU (000)",10166,556,34,2474,4863,755,677,351,456
"Agric., ganadería, caza y silvicultura (001)",1501,232,12,547,517,89,44,27,33
"Pesca (002)",12,1,,4,6,,1,,
"Explotación de minas y canteras (003)",2795,91,6,709,1650,131,88,78,42
"Industrias manufactureras (004)",351,12,2,71,175,31,24,18,18
"Suministro de electricidad, gas y agua (005)",23,1,,1,16,3,2,,
"Construcción (006)",246,11,1,62,117,19,15,7,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1606,76,2,371,750,134,125,73,75
"Venta, mant.y rep. veh.autom.y motoc. (008)",310,4,,27,151,32,56,21,19
"Comercio al por mayor (009)",35,1,,8,18,2,1,1,4
"Comercio al por menor (010)",1261,71,2,336,581,100,68,51,52
"Hoteles y restaurantes (011)",1028,59,5,285,510,71,51,27,20
"Trans., almac. y comunicaciones (012)",846,12,1,140,472,114,59,31,17
"Intermediación financiera (013)",13,1,,2,2,2,3,1,2
"Activid.inmobil., empres. y de alquiler (014)",123,3,,9,44,14,16,13,24
"Admin.pub. y defensa; p. segur.soc.afil (015)",132,2,,8,36,20,18,27,21
"Enseñanza (016)",249,,,1,5,17,132,10,84
"Servicios sociales y de salud (017)",95,1,,,11,3,26,7,47
"Otras activ. serv.comun.soc y personales (018)",252,11,1,40,121,28,20,10,21
"Hogares privados con servicio doméstico (019)",280,11,1,93,146,19,7,1,2
"Actividad economica no especificada (021)",614,32,3,131,285,60,46,21,36
"Hombres (022)",7279,337,18,1702,3616,567,450,276,313
"Agric., ganadería, caza y silvicultura (023)",1306,185,9,484,454,82,37,27,28
"Pesca (024)",12,1,,4,6,,1,,
"Explotación de minas y canteras (025)",2556,78,3,639,1525,119,81,70,41
"Industrias manufactureras (026)",302,7,2,55,158,26,22,17,15
"Suministro de electricidad, gas y agua (027)",23,1,,1,16,3,2,,
"Construcción (028)",239,11,1,61,113,19,14,7,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",828,15,,137,412,84,81,51,48
"Venta, mant.y rep. veh.autom.y motoc. (030)",284,3,,24,138,31,53,19,16
"Comercio al por mayor (031)",23,,,4,12,1,1,1,4
"Comercio al por menor (032)",521,12,,109,262,52,27,31,28
"Hoteles y restaurantes (033)",179,2,,34,90,17,19,9,8
"Trans., almac. y comunicaciones (034)",808,12,1,136,447,111,55,31,15
"Intermediación financiera (035)",10,,,2,2,1,2,1,2
"Activid.inmobil., empres. y de alquiler (036)",106,3,,5,40,11,15,11,21
"Admin.pub. y defensa; p. segur.soc.afil (037)",109,2,,7,31,18,13,21,17
"Enseñanza (038)",116,,,1,1,9,58,6,41
"Servicios sociales y de salud (039)",49,1,,,3,1,12,5,27
"Otras activ. serv.comun.soc y personales (040)",153,5,,21,80,17,11,5,14
"Hogares privados con servicio doméstico (041)",60,2,,18,29,7,2,1,1
"Actividad economica no especificada (043)",423,12,2,97,209,42,25,14,22
"Mujeres (044)",2887,219,16,772,1247,188,227,75,143
