"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PACASMAYO (000)",73497,10086,12685,14251,12832,9903,13740
"Católica (001)",57056,7782,9800,10999,10085,7799,10591
"Cristiana/Evangélica (002)",11895,1537,1833,2252,2051,1646,2576
"Otra (003)",1864,294,316,373,293,242,346
"Ninguna (004)",2682,473,736,627,403,216,227
"Hombres (006)",36163,5053,6340,6821,6179,4824,6946
"Católica (007)",28530,3978,4927,5318,4927,3917,5463
"Cristiana/Evangélica (008)",5202,690,839,970,873,668,1162
"Otra (009)",850,128,158,160,137,110,157
"Ninguna (010)",1581,257,416,373,242,129,164
"Mujeres (012)",37334,5033,6345,7430,6653,5079,6794
"Católica (013)",28526,3804,4873,5681,5158,3882,5128
"Cristiana/Evangélica (014)",6693,847,994,1282,1178,978,1414
"Otra (015)",1014,166,158,213,156,132,189
"Ninguna (016)",1101,216,320,254,161,87,63
,,,,,,,
"URBANA (018)",68443,9397,11706,13221,12082,9252,12785
"Católica (019)",53222,7260,9056,10191,9510,7312,9893
"Cristiana/Evangélica (020)",10970,1430,1667,2094,1909,1511,2359
"Otra (021)",1758,275,300,350,284,225,324
"Ninguna (022)",2493,432,683,586,379,204,209
"Hombres (024)",33545,4704,5825,6299,5802,4498,6417
"Católica (025)",26457,3700,4522,4896,4623,3657,5059
"Cristiana/Evangélica (026)",4815,650,776,899,817,616,1057
"Otra (027)",798,116,148,152,132,104,146
"Ninguna (028)",1475,238,379,352,230,121,155
"Mujeres (030)",34898,4693,5881,6922,6280,4754,6368
"Católica (031)",26765,3560,4534,5295,4887,3655,4834
"Cristiana/Evangélica (032)",6155,780,891,1195,1092,895,1302
"Otra (033)",960,159,152,198,152,121,178
"Ninguna (034)",1018,194,304,234,149,83,54
,,,,,,,
"RURAL (036)",5054,689,979,1030,750,651,955
"Católica (037)",3834,522,744,808,575,487,698
"Cristiana/Evangélica (038)",925,107,166,158,142,135,217
"Otra (039)",106,19,16,23,9,17,22
"Ninguna (040)",189,41,53,41,24,12,18
"Hombres (042)",2618,349,515,522,377,326,529
"Católica (043)",2073,278,405,422,304,260,404
"Cristiana/Evangélica (044)",387,40,63,71,56,52,105
"Otra (045)",52,12,10,8,5,6,11
"Ninguna (046)",106,19,37,21,12,8,9
"Mujeres (048)",2436,340,464,508,373,325,426
"Católica (049)",1761,244,339,386,271,227,294
"Cristiana/Evangélica (050)",538,67,103,87,86,83,112
"Otra (051)",54,7,6,15,4,11,11
"Ninguna (052)",83,22,16,20,12,4,9
