"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MORROPON (000)",4013,838,3175
"Sin nivel (001)",471,55,416
"Educación inicial (002)",7,4,3
"Primaria (003)",1728,298,1430
"Secundaria (004)",1401,358,1043
"Superior no univ. incompleta (005)",121,34,87
"Superior no univ. completa (006)",137,40,97
"Superior univ. incompleta (007)",67,25,42
"Superior univ. completa (008)",81,24,57
"De 14 a 29 años (010)",1918,680,1238
"Sin nivel (011)",74,23,51
"Educación inicial (012)",7,4,3
"Primaria (013)",684,238,446
"Secundaria (014)",907,314,593
"Superior no univ. incompleta (015)",76,26,50
"Superior no univ. completa (016)",86,37,49
"Superior univ. incompleta (017)",42,19,23
"Superior univ. completa (018)",42,19,23
"De 30 a 44 años (020)",1033,122,911
"Sin nivel (021)",137,22,115
"Primaria (023)",470,40,430
"Secundaria (024)",320,40,280
"Superior no univ. incompleta (025)",32,7,25
"Superior no univ. completa (026)",33,3,30
"Superior univ. incompleta (027)",18,6,12
"Superior univ. completa (028)",23,4,19
"De 45 a 64 años (030)",847,36,811
"Sin nivel (031)",162,10,152
"Primaria (033)",468,20,448
"Secundaria (034)",166,4,162
"Superior no univ. incompleta (035)",13,1,12
"Superior no univ. completa (036)",18,,18
"Superior univ. incompleta (037)",6,,6
"Superior univ. completa (038)",14,1,13
"De 65 y más años (040)",215,,215
"Sin nivel (041)",98,,98
"Primaria (043)",106,,106
"Secundaria (044)",8,,8
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",2,,2
,,,
"AREA URBANA (050)",2326,500,1826
"Sin nivel (051)",216,24,192
"Educación inicial (052)",6,3,3
"Primaria (053)",846,139,707
"Secundaria (054)",914,231,683
"Superior no univ. incompleta (055)",96,23,73
"Superior no univ. completa (056)",112,38,74
"Superior univ. incompleta (057)",65,23,42
"Superior univ. completa (058)",71,19,52
"De 14 a 29 años (060)",1110,400,710
"Sin nivel (061)",29,11,18
"Educación inicial (062)",6,3,3
"Primaria (063)",308,106,202
"Secundaria (064)",564,197,367
"Superior no univ. incompleta (065)",56,16,40
"Superior no univ. completa (066)",71,35,36
"Superior univ. incompleta (067)",40,17,23
"Superior univ. completa (068)",36,15,21
"De 30 a 44 años (070)",593,80,513
"Sin nivel (071)",57,8,49
"Primaria (073)",223,21,202
"Secundaria (074)",220,32,188
"Superior no univ. incompleta (075)",29,6,23
"Superior no univ. completa (076)",25,3,22
"Superior univ. incompleta (077)",18,6,12
"Superior univ. completa (078)",21,4,17
"De 45 a 64 años (080)",495,20,475
"Sin nivel (081)",78,5,73
"Primaria (083)",249,12,237
"Secundaria (084)",123,2,121
"Superior no univ. incompleta (085)",11,1,10
"Superior no univ. completa (086)",16,,16
"Superior univ. incompleta (087)",6,,6
"Superior univ. completa (088)",12,,12
"De 65 y más años (090)",128,,128
"Sin nivel (091)",52,,52
"Primaria (093)",66,,66
"Secundaria (094)",7,,7
"Superior univ. incompleta (097)",1,,1
"Superior univ. completa (098)",2,,2
,,,
"AREA RURAL (100)",1687,338,1349
"Sin nivel (101)",255,31,224
"Educación inicial (102)",1,1,
"Primaria (103)",882,159,723
"Secundaria (104)",487,127,360
"Superior no univ. incompleta (105)",25,11,14
"Superior no univ. completa (106)",25,2,23
"Superior univ. incompleta (107)",2,2,
"Superior univ. completa (108)",10,5,5
"De 14 a 29 años (110)",808,280,528
"Sin nivel (111)",45,12,33
"Educación inicial (112)",1,1,
"Primaria (113)",376,132,244
"Secundaria (114)",343,117,226
"Superior no univ. incompleta (115)",20,10,10
"Superior no univ. completa (116)",15,2,13
"Superior univ. incompleta (117)",2,2,
"Superior univ. completa (118)",6,4,2
"De 30 a 44 años (120)",440,42,398
"Sin nivel (121)",80,14,66
"Primaria (123)",247,19,228
"Secundaria (124)",100,8,92
"Superior no univ. incompleta (125)",3,1,2
"Superior no univ. completa (126)",8,,8
"Superior univ. completa (128)",2,,2
"De 45 a 64 años (130)",352,16,336
"Sin nivel (131)",84,5,79
"Primaria (133)",219,8,211
"Secundaria (134)",43,2,41
"Superior no univ. incompleta (135)",2,,2
"Superior no univ. completa (136)",2,,2
"Superior univ. completa (138)",2,1,1
"De 65 y más años (140)",87,,87
"Sin nivel (141)",46,,46
"Primaria (143)",40,,40
"Secundaria (144)",1,,1
