"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MORROPON (000)",120563,19883,10111,3616,87070
"Conviviente (001)",36985,5393,2335,867,28418
"Separado(a) (002)",3743,500,254,93,2897
"Casado(a) (003)",29665,3188,4078,1342,21115
"Viudo(a) (004)",5260,546,597,213,3906
"Divorciado(a) (005)",190,16,21,16,137
"Soltero(a) (006)",44720,10240,2826,1085,30597
"Hombres (008)",61143,9192,5053,2045,44939
"Conviviente (009)",17806,2053,1165,516,14090
"Separado(a) (010)",1057,102,74,38,844
"Casado(a) (011)",14652,1389,2115,787,10410
"Viudo(a) (012)",1664,158,218,82,1207
"Divorciado(a) (013)",79,3,8,10,58
"Soltero(a) (014)",25885,5487,1473,612,18330
"Mujeres (016)",59420,10691,5058,1571,42131
"Conviviente (017)",19179,3340,1170,351,14328
"Separado(a) (018)",2686,398,180,55,2053
"Casado(a) (019)",15013,1799,1963,555,10705
"Viudo(a) (020)",3596,388,379,131,2699
"Divorciado(a) (021)",111,13,13,6,79
"Soltero(a) (022)",18835,4753,1353,473,12267
,,,,,
"URBANA (024)",70762,11585,8366,3049,47864
"Conviviente (025)",23041,3492,1978,751,16846
"Separado(a) (026)",2551,372,214,84,1881
"Casado(a) (027)",16450,2053,3303,1133,10012
"Viudo(a) (028)",2899,372,456,171,1902
"Divorciado(a) (029)",145,12,18,16,99
"Soltero(a) (030)",25676,5284,2397,894,17124
"Hombres (032)",35229,5300,4118,1703,24183
"Conviviente (033)",11013,1370,973,444,8243
"Separado(a) (034)",717,79,58,34,546
"Casado(a) (035)",8098,922,1689,658,4871
"Viudo(a) (036)",905,109,158,67,572
"Divorciado(a) (037)",58,2,5,10,41
"Soltero(a) (038)",14438,2818,1235,490,9910
"Mujeres (040)",35533,6285,4248,1346,23681
"Conviviente (041)",12028,2122,1005,307,8603
"Separado(a) (042)",1834,293,156,50,1335
"Casado(a) (043)",8352,1131,1614,475,5141
"Viudo(a) (044)",1994,263,298,104,1330
"Divorciado(a) (045)",87,10,13,6,58
"Soltero(a) (046)",11238,2466,1162,404,7214
,,,,,
"RURAL (048)",49801,8298,1745,567,39206
"Conviviente (049)",13944,1901,357,116,11572
"Separado(a) (050)",1192,128,40,9,1016
"Casado(a) (051)",13215,1135,775,209,11103
"Viudo(a) (052)",2361,174,141,42,2004
"Divorciado(a) (053)",45,4,3,,38
"Soltero(a) (054)",19044,4956,429,191,13473
"Hombres (056)",25914,3892,935,342,20756
"Conviviente (057)",6793,683,192,72,5847
"Separado(a) (058)",340,23,16,4,298
"Casado(a) (059)",6554,467,426,129,5539
"Viudo(a) (060)",759,49,60,15,635
"Divorciado(a) (061)",21,1,3,,17
"Soltero(a) (062)",11447,2669,238,122,8420
"Mujeres (064)",23887,4406,810,225,18450
"Conviviente (065)",7151,1218,165,44,5725
"Separado(a) (066)",852,105,24,5,718
"Casado(a) (067)",6661,668,349,80,5564
"Viudo(a) (068)",1602,125,81,27,1369
"Divorciado(a) (069)",24,3,,,21
"Soltero(a) (070)",7597,2287,191,69,5053
