"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AZANGARO (000)",899,497,402
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",21,21,
"Casa pensión (003)",12,12,
"Hospital, clinica (004)",32,32,
"Cárcel, centro de readaptación social (005)",6,6,
"Asilo (006)",3,3,
"Aldea infantil, orfelinato, etc (007)",6,,6
"Otro (008)",167,167,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",652,256,396
